Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
01.07.2016 00:00;01.07.2016 00:15;12.121,00
01.07.2016 00:15;01.07.2016 00:30;11.921,00
01.07.2016 00:30;01.07.2016 00:45;11.728,00
01.07.2016 00:45;01.07.2016 01:00;11.627,75
01.07.2016 01:00;01.07.2016 01:15;11.518,25
01.07.2016 01:15;01.07.2016 01:30;11.415,75
01.07.2016 01:30;01.07.2016 01:45;11.347,25
01.07.2016 01:45;01.07.2016 02:00;11.235,25
01.07.2016 02:00;01.07.2016 02:15;11.181,25
01.07.2016 02:15;01.07.2016 02:30;11.162,50
01.07.2016 02:30;01.07.2016 02:45;11.123,50
01.07.2016 02:45;01.07.2016 03:00;11.157,25
01.07.2016 03:00;01.07.2016 03:15;11.153,50
01.07.2016 03:15;01.07.2016 03:30;11.155,50
01.07.2016 03:30;01.07.2016 03:45;11.186,00
01.07.2016 03:45;01.07.2016 04:00;11.168,50
01.07.2016 04:00;01.07.2016 04:15;11.266,50
01.07.2016 04:15;01.07.2016 04:30;11.323,50
01.07.2016 04:30;01.07.2016 04:45;11.448,75
01.07.2016 04:45;01.07.2016 05:00;11.540,50
01.07.2016 05:00;01.07.2016 05:15;11.711,00
01.07.2016 05:15;01.07.2016 05:30;11.856,25
01.07.2016 05:30;01.07.2016 05:45;12.173,50
01.07.2016 05:45;01.07.2016 06:00;12.542,75
01.07.2016 06:00;01.07.2016 06:15;13.319,75
01.07.2016 06:15;01.07.2016 06:30;13.771,75
01.07.2016 06:30;01.07.2016 06:45;14.262,25
01.07.2016 06:45;01.07.2016 07:00;14.684,25
01.07.2016 07:00;01.07.2016 07:15;15.186,75
01.07.2016 07:15;01.07.2016 07:30;15.481,50
01.07.2016 07:30;01.07.2016 07:45;15.752,00
01.07.2016 07:45;01.07.2016 08:00;16.035,75
01.07.2016 08:00;01.07.2016 08:15;16.303,50
01.07.2016 08:15;01.07.2016 08:30;16.531,75
01.07.2016 08:30;01.07.2016 08:45;16.649,75
01.07.2016 08:45;01.07.2016 09:00;16.735,25
01.07.2016 09:00;01.07.2016 09:15;16.748,00
01.07.2016 09:15;01.07.2016 09:30;16.840,75
01.07.2016 09:30;01.07.2016 09:45;17.016,25
01.07.2016 09:45;01.07.2016 10:00;17.120,75
01.07.2016 10:00;01.07.2016 10:15;17.192,75
01.07.2016 10:15;01.07.2016 10:30;17.188,00
01.07.2016 10:30;01.07.2016 10:45;17.288,25
01.07.2016 10:45;01.07.2016 11:00;17.310,50
01.07.2016 11:00;01.07.2016 11:15;17.437,00
