Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
23.06.2023 00:00;23.06.2023 00:15;11.360,00
23.06.2023 00:15;23.06.2023 00:30;11.160,50
23.06.2023 00:30;23.06.2023 00:45;11.087,75
23.06.2023 00:45;23.06.2023 01:00;11.006,25
23.06.2023 01:00;23.06.2023 01:15;10.811,00
23.06.2023 01:15;23.06.2023 01:30;10.660,00
23.06.2023 01:30;23.06.2023 01:45;10.566,25
23.06.2023 01:45;23.06.2023 02:00;10.410,75
23.06.2023 02:00;23.06.2023 02:15;10.288,50
23.06.2023 02:15;23.06.2023 02:30;10.270,25
23.06.2023 02:30;23.06.2023 02:45;10.302,25
23.06.2023 02:45;23.06.2023 03:00;10.358,75
23.06.2023 03:00;23.06.2023 03:15;10.296,50
23.06.2023 03:15;23.06.2023 03:30;10.214,75
23.06.2023 03:30;23.06.2023 03:45;10.270,75
23.06.2023 03:45;23.06.2023 04:00;10.308,50
23.06.2023 04:00;23.06.2023 04:15;10.319,00
23.06.2023 04:15;23.06.2023 04:30;10.286,50
23.06.2023 04:30;23.06.2023 04:45;10.300,00
23.06.2023 04:45;23.06.2023 05:00;10.399,00
23.06.2023 05:00;23.06.2023 05:15;10.647,50
23.06.2023 05:15;23.06.2023 05:30;10.700,50
23.06.2023 05:30;23.06.2023 05:45;10.972,50
23.06.2023 05:45;23.06.2023 06:00;11.343,25
23.06.2023 06:00;23.06.2023 06:15;12.035,50
23.06.2023 06:15;23.06.2023 06:30;12.507,00
23.06.2023 06:30;23.06.2023 06:45;12.822,75
23.06.2023 06:45;23.06.2023 07:00;13.169,75
23.06.2023 07:00;23.06.2023 07:15;13.566,75
23.06.2023 07:15;23.06.2023 07:30;13.887,00
23.06.2023 07:30;23.06.2023 07:45;14.078,25
23.06.2023 07:45;23.06.2023 08:00;14.284,00
23.06.2023 08:00;23.06.2023 08:15;14.437,50
23.06.2023 08:15;23.06.2023 08:30;14.640,75
23.06.2023 08:30;23.06.2023 08:45;14.759,75
23.06.2023 08:45;23.06.2023 09:00;14.828,00
23.06.2023 09:00;23.06.2023 09:15;14.795,25
23.06.2023 09:15;23.06.2023 09:30;14.801,75
23.06.2023 09:30;23.06.2023 09:45;14.861,50
23.06.2023 09:45;23.06.2023 10:00;14.987,25
23.06.2023 10:00;23.06.2023 10:15;14.993,25
23.06.2023 10:15;23.06.2023 10:30;15.077,00
23.06.2023 10:30;23.06.2023 10:45;15.124,50
23.06.2023 10:45;23.06.2023 11:00;15.173,00
23.06.2023 11:00;23.06.2023 11:15;15.169,50
23.06.2023 11:15;23.06.2023 11:30;15.197,75
23.06.2023 11:30;23.06.2023 11:45;15.266,75
23.06.2023 11:45;23.06.2023 12:00;15.252,00
23.06.2023 12:00;23.06.2023 12:15;15.033,00
23.06.2023 12:15;23.06.2023 12:30;15.112,25
23.06.2023 12:30;23.06.2023 12:45;15.119,00
23.06.2023 12:45;23.06.2023 13:00;15.056,75
23.06.2023 13:00;23.06.2023 13:15;14.934,00
23.06.2023 13:15;23.06.2023 13:30;14.809,50
23.06.2023 13:30;23.06.2023 13:45;14.708,75
23.06.2023 13:45;23.06.2023 14:00;14.585,75
23.06.2023 14:00;23.06.2023 14:15;14.474,75
23.06.2023 14:15;23.06.2023 14:30;14.369,75
23.06.2023 14:30;23.06.2023 14:45;14.292,00
23.06.2023 14:45;23.06.2023 15:00;14.207,75
23.06.2023 15:00;23.06.2023 15:15;14.241,25
23.06.2023 15:15;23.06.2023 15:30;14.144,75
23.06.2023 15:30;23.06.2023 15:45;14.051,50
23.06.2023 15:45;23.06.2023 16:00;13.954,00
23.06.2023 16:00;23.06.2023 16:15;13.987,75
23.06.2023 16:15;23.06.2023 16:30;13.920,50
23.06.2023 16:30;23.06.2023 16:45;13.917,00
23.06.2023 16:45;23.06.2023 17:00;13.865,50
23.06.2023 17:00;23.06.2023 17:15;13.877,00
23.06.2023 17:15;23.06.2023 17:30;13.895,75
23.06.2023 17:30;23.06.2023 17:45;13.895,00
23.06.2023 17:45;23.06.2023 18:00;13.950,25
23.06.2023 18:00;23.06.2023 18:15;13.948,75
23.06.2023 18:15;23.06.2023 18:30;13.830,25
23.06.2023 18:30;23.06.2023 18:45;13.809,50
23.06.2023 18:45;23.06.2023 19:00;13.851,50
23.06.2023 19:00;23.06.2023 19:15;13.847,25
23.06.2023 19:15;23.06.2023 19:30;13.603,25
