Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
28.06.2016 00:00;28.06.2016 00:15;12.046,25
28.06.2016 00:15;28.06.2016 00:30;11.875,75
28.06.2016 00:30;28.06.2016 00:45;11.739,50
28.06.2016 00:45;28.06.2016 01:00;11.611,00
28.06.2016 01:00;28.06.2016 01:15;11.584,50
28.06.2016 01:15;28.06.2016 01:30;11.431,50
28.06.2016 01:30;28.06.2016 01:45;11.383,25
28.06.2016 01:45;28.06.2016 02:00;11.274,00
28.06.2016 02:00;28.06.2016 02:15;11.224,00
28.06.2016 02:15;28.06.2016 02:30;11.199,75
28.06.2016 02:30;28.06.2016 02:45;11.145,25
28.06.2016 02:45;28.06.2016 03:00;11.212,50
28.06.2016 03:00;28.06.2016 03:15;11.204,50
28.06.2016 03:15;28.06.2016 03:30;11.162,75
28.06.2016 03:30;28.06.2016 03:45;11.193,25
28.06.2016 03:45;28.06.2016 04:00;11.208,25
28.06.2016 04:00;28.06.2016 04:15;11.283,00
28.06.2016 04:15;28.06.2016 04:30;11.341,25
28.06.2016 04:30;28.06.2016 04:45;11.375,25
28.06.2016 04:45;28.06.2016 05:00;11.463,00
28.06.2016 05:00;28.06.2016 05:15;11.768,00
28.06.2016 05:15;28.06.2016 05:30;11.916,75
28.06.2016 05:30;28.06.2016 05:45;12.166,00
28.06.2016 05:45;28.06.2016 06:00;12.422,00
28.06.2016 06:00;28.06.2016 06:15;13.334,00
28.06.2016 06:15;28.06.2016 06:30;13.824,00
28.06.2016 06:30;28.06.2016 06:45;14.253,50
28.06.2016 06:45;28.06.2016 07:00;14.667,25
28.06.2016 07:00;28.06.2016 07:15;15.165,75
28.06.2016 07:15;28.06.2016 07:30;15.486,75
28.06.2016 07:30;28.06.2016 07:45;15.707,75
28.06.2016 07:45;28.06.2016 08:00;15.955,50
28.06.2016 08:00;28.06.2016 08:15;16.257,00
28.06.2016 08:15;28.06.2016 08:30;16.333,50
28.06.2016 08:30;28.06.2016 08:45;16.440,50
28.06.2016 08:45;28.06.2016 09:00;16.506,25
28.06.2016 09:00;28.06.2016 09:15;16.432,00
28.06.2016 09:15;28.06.2016 09:30;16.527,75
28.06.2016 09:30;28.06.2016 09:45;16.637,50
28.06.2016 09:45;28.06.2016 10:00;16.776,75
28.06.2016 10:00;28.06.2016 10:15;16.838,25
28.06.2016 10:15;28.06.2016 10:30;16.865,25
28.06.2016 10:30;28.06.2016 10:45;17.062,75
28.06.2016 10:45;28.06.2016 11:00;17.179,75
28.06.2016 11:00;28.06.2016 11:15;17.264,00
28.06.2016 11:15;28.06.2016 11:30;17.318,75
28.06.2016 11:30;28.06.2016 11:45;17.434,50
28.06.2016 11:45;28.06.2016 12:00;17.423,50
28.06.2016 12:00;28.06.2016 12:15;17.223,00
28.06.2016 12:15;28.06.2016 12:30;17.163,00
28.06.2016 12:30;28.06.2016 12:45;17.182,00
28.06.2016 12:45;28.06.2016 13:00;17.180,50
28.06.2016 13:00;28.06.2016 13:15;17.159,25
28.06.2016 13:15;28.06.2016 13:30;17.091,00
28.06.2016 13:30;28.06.2016 13:45;17.053,50
28.06.2016 13:45;28.06.2016 14:00;16.871,75
28.06.2016 14:00;28.06.2016 14:15;16.787,25
28.06.2016 14:15;28.06.2016 14:30;16.790,75
28.06.2016 14:30;28.06.2016 14:45;16.704,75
28.06.2016 14:45;28.06.2016 15:00;16.702,00
28.06.2016 15:00;28.06.2016 15:15;16.612,00
28.06.2016 15:15;28.06.2016 15:30;16.496,50
28.06.2016 15:30;28.06.2016 15:45;16.441,00
28.06.2016 15:45;28.06.2016 16:00;16.249,75
28.06.2016 16:00;28.06.2016 16:15;16.181,50
28.06.2016 16:15;28.06.2016 16:30;16.108,25
28.06.2016 16:30;28.06.2016 16:45;16.053,50
28.06.2016 16:45;28.06.2016 17:00;15.974,00
28.06.2016 17:00;28.06.2016 17:15;15.886,00
28.06.2016 17:15;28.06.2016 17:30;15.885,50
28.06.2016 17:30;28.06.2016 17:45;15.950,75
28.06.2016 17:45;28.06.2016 18:00;15.927,25
28.06.2016 18:00;28.06.2016 18:15;15.755,25
28.06.2016 18:15;28.06.2016 18:30;15.715,50
28.06.2016 18:30;28.06.2016 18:45;15.726,00
28.06.2016 18:45;28.06.2016 19:00;15.683,75
28.06.2016 19:00;28.06.2016 19:15;15.605,25
28.06.2016 19:15;28.06.2016 19:30;15.520,00
28.06.2016 19:30;28.06.2016 19:45;15.422,50
28.06.2016 19:45;28.06.2016 20:00;15.348,00
28.06.2016 20:00;28.06.2016 20:15;15.140,25
28.06.2016 20:15;28.06.2016 20:30;14.979,25
28.06.2016 20:30;28.06.2016 20:45;14.804,50
28.06.2016 20:45;28.06.2016 21:00;14.652,00
28.06.2016 21:00;28.06.2016 21:15;14.505,50
28.06.2016 21:15;28.06.2016 21:30;14.369,50
28.06.2016 21:30;28.06.2016 21:45;14.231,75
28.06.2016 21:45;28.06.2016 22:00;14.108,25
28.06.2016 22:00;28.06.2016 22:15;14.031,25
28.06.2016 22:15;28.06.2016 22:30;13.887,25
28.06.2016 22:30;28.06.2016 22:45;13.608,25
28.06.2016 22:45;28.06.2016 23:00;13.321,75
28.06.2016 23:00;28.06.2016 23:15;13.058,25
28.06.2016 23:15;28.06.2016 23:30;12.807,25
28.06.2016 23:30;28.06.2016 23:45;12.540,25
28.06.2016 23:45;29.06.2016 00:00;12.353,50
29.06.2016 00:00;29.06.2016 00:15;12.105,50
29.06.2016 00:15;29.06.2016 00:30;11.930,50
29.06.2016 00:30;29.06.2016 00:45;11.790,25
29.06.2016 00:45;29.06.2016 01:00;11.721,25
29.06.2016 01:00;29.06.2016 01:15;11.675,00
29.06.2016 01:15;29.06.2016 01:30;11.563,75
29.06.2016 01:30;29.06.2016 01:45;11.501,75
29.06.2016 01:45;29.06.2016 02:00;11.456,25
29.06.2016 02:00;29.06.2016 02:15;11.284,75
29.06.2016 02:15;29.06.2016 02:30;11.210,00
29.06.2016 02:30;29.06.2016 02:45;11.236,25
29.06.2016 02:45;29.06.2016 03:00;11.293,75
29.06.2016 03:00;29.06.2016 03:15;11.290,50
29.06.2016 03:15;29.06.2016 03:30;11.335,75
29.06.2016 03:30;29.06.2016 03:45;11.322,75
29.06.2016 03:45;29.06.2016 04:00;11.371,50
29.06.2016 04:00;29.06.2016 04:15;11.444,00
29.06.2016 04:15;29.06.2016 04:30;11.537,00
29.06.2016 04:30;29.06.2016 04:45;11.636,25
29.06.2016 04:45;29.06.2016 05:00;11.719,50
29.06.2016 05:00;29.06.2016 05:15;11.938,75
29.06.2016 05:15;29.06.2016 05:30;12.053,50
29.06.2016 05:30;29.06.2016 05:45;12.304,00
29.06.2016 05:45;29.06.2016 06:00;12.701,50
29.06.2016 06:00;29.06.2016 06:15;13.522,50
29.06.2016 06:15;29.06.2016 06:30;14.012,50
29.06.2016 06:30;29.06.2016 06:45;14.472,25
29.06.2016 06:45;29.06.2016 07:00;14.820,00
29.06.2016 07:00;29.06.2016 07:15;15.355,50
29.06.2016 07:15;29.06.2016 07:30;15.652,00
29.06.2016 07:30;29.06.2016 07:45;15.905,75
29.06.2016 07:45;29.06.2016 08:00;16.187,25
29.06.2016 08:00;29.06.2016 08:15;16.425,25
29.06.2016 08:15;29.06.2016 08:30;16.637,75
29.06.2016 08:30;29.06.2016 08:45;16.765,00
29.06.2016 08:45;29.06.2016 09:00;16.822,25
29.06.2016 09:00;29.06.2016 09:15;16.747,00
29.06.2016 09:15;29.06.2016 09:30;16.896,75
29.06.2016 09:30;29.06.2016 09:45;17.047,50
29.06.2016 09:45;29.06.2016 10:00;17.193,00
29.06.2016 10:00;29.06.2016 10:15;17.291,75
