Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
07.06.2015 00:00;07.06.2015 00:15;10.419,00
07.06.2015 00:15;07.06.2015 00:30;10.234,50
07.06.2015 00:30;07.06.2015 00:45;10.000,00
07.06.2015 00:45;07.06.2015 01:00;9.836,75
07.06.2015 01:00;07.06.2015 01:15;9.703,00
07.06.2015 01:15;07.06.2015 01:30;9.614,50
07.06.2015 01:30;07.06.2015 01:45;9.530,00
07.06.2015 01:45;07.06.2015 02:00;9.480,50
07.06.2015 02:00;07.06.2015 02:15;9.402,25
07.06.2015 02:15;07.06.2015 02:30;9.334,00
07.06.2015 02:30;07.06.2015 02:45;9.283,75
07.06.2015 02:45;07.06.2015 03:00;9.282,25
07.06.2015 03:00;07.06.2015 03:15;9.256,25
07.06.2015 03:15;07.06.2015 03:30;9.230,50
07.06.2015 03:30;07.06.2015 03:45;9.193,25
07.06.2015 03:45;07.06.2015 04:00;9.142,50
07.06.2015 04:00;07.06.2015 04:15;9.185,00
07.06.2015 04:15;07.06.2015 04:30;9.135,25
07.06.2015 04:30;07.06.2015 04:45;9.096,75
07.06.2015 04:45;07.06.2015 05:00;9.023,50
07.06.2015 05:00;07.06.2015 05:15;9.013,00
07.06.2015 05:15;07.06.2015 05:30;8.971,00
07.06.2015 05:30;07.06.2015 05:45;8.886,75
07.06.2015 05:45;07.06.2015 06:00;8.922,50
07.06.2015 06:00;07.06.2015 06:15;9.060,00
07.06.2015 06:15;07.06.2015 06:30;9.076,00
07.06.2015 06:30;07.06.2015 06:45;9.136,00
07.06.2015 06:45;07.06.2015 07:00;9.233,25
07.06.2015 07:00;07.06.2015 07:15;9.359,50
07.06.2015 07:15;07.06.2015 07:30;9.561,75
07.06.2015 07:30;07.06.2015 07:45;9.772,50
07.06.2015 07:45;07.06.2015 08:00;9.955,75
07.06.2015 08:00;07.06.2015 08:15;10.201,75
07.06.2015 08:15;07.06.2015 08:30;10.456,00
07.06.2015 08:30;07.06.2015 08:45;10.662,75
07.06.2015 08:45;07.06.2015 09:00;10.860,75
07.06.2015 09:00;07.06.2015 09:15;11.156,25
07.06.2015 09:15;07.06.2015 09:30;11.329,75
07.06.2015 09:30;07.06.2015 09:45;11.483,50
07.06.2015 09:45;07.06.2015 10:00;11.611,50
07.06.2015 10:00;07.06.2015 10:15;11.808,50
07.06.2015 10:15;07.06.2015 10:30;11.926,75
07.06.2015 10:30;07.06.2015 10:45;12.040,00
07.06.2015 10:45;07.06.2015 11:00;12.133,00
07.06.2015 11:00;07.06.2015 11:15;12.341,25
07.06.2015 11:15;07.06.2015 11:30;12.522,75
07.06.2015 11:30;07.06.2015 11:45;12.616,00
07.06.2015 11:45;07.06.2015 12:00;12.629,25
07.06.2015 12:00;07.06.2015 12:15;12.632,50
07.06.2015 12:15;07.06.2015 12:30;12.536,00
07.06.2015 12:30;07.06.2015 12:45;12.410,25
07.06.2015 12:45;07.06.2015 13:00;12.294,00
07.06.2015 13:00;07.06.2015 13:15;12.190,50
07.06.2015 13:15;07.06.2015 13:30;12.063,50
07.06.2015 13:30;07.06.2015 13:45;11.922,50
07.06.2015 13:45;07.06.2015 14:00;11.680,50
07.06.2015 14:00;07.06.2015 14:15;11.635,50
07.06.2015 14:15;07.06.2015 14:30;11.645,00
07.06.2015 14:30;07.06.2015 14:45;11.602,50
07.06.2015 14:45;07.06.2015 15:00;11.461,50
07.06.2015 15:00;07.06.2015 15:15;11.438,75
07.06.2015 15:15;07.06.2015 15:30;11.363,75
07.06.2015 15:30;07.06.2015 15:45;11.323,00
07.06.2015 15:45;07.06.2015 16:00;11.300,00
07.06.2015 16:00;07.06.2015 16:15;11.249,50
07.06.2015 16:15;07.06.2015 16:30;11.251,00
07.06.2015 16:30;07.06.2015 16:45;11.294,50
07.06.2015 16:45;07.06.2015 17:00;11.297,25
07.06.2015 17:00;07.06.2015 17:15;11.447,25
07.06.2015 17:15;07.06.2015 17:30;11.583,75
07.06.2015 17:30;07.06.2015 17:45;11.695,50
07.06.2015 17:45;07.06.2015 18:00;11.830,00
07.06.2015 18:00;07.06.2015 18:15;11.951,50
07.06.2015 18:15;07.06.2015 18:30;12.034,50
07.06.2015 18:30;07.06.2015 18:45;12.067,50
07.06.2015 18:45;07.06.2015 19:00;12.129,50
07.06.2015 19:00;07.06.2015 19:15;12.214,50
07.06.2015 19:15;07.06.2015 19:30;12.184,75
07.06.2015 19:30;07.06.2015 19:45;12.131,50
07.06.2015 19:45;07.06.2015 20:00;12.112,00
07.06.2015 20:00;07.06.2015 20:15;12.133,50
07.06.2015 20:15;07.06.2015 20:30;12.022,50
07.06.2015 20:30;07.06.2015 20:45;11.992,50
07.06.2015 20:45;07.06.2015 21:00;11.872,50
07.06.2015 21:00;07.06.2015 21:15;11.869,00
07.06.2015 21:15;07.06.2015 21:30;11.797,75
07.06.2015 21:30;07.06.2015 21:45;11.794,50
07.06.2015 21:45;07.06.2015 22:00;11.974,50
07.06.2015 22:00;07.06.2015 22:15;12.202,75
07.06.2015 22:15;07.06.2015 22:30;12.157,00
07.06.2015 22:30;07.06.2015 22:45;11.963,00
07.06.2015 22:45;07.06.2015 23:00;11.785,25
07.06.2015 23:00;07.06.2015 23:15;11.541,50
07.06.2015 23:15;07.06.2015 23:30;11.335,25
07.06.2015 23:30;07.06.2015 23:45;11.095,25
07.06.2015 23:45;08.06.2015 00:00;10.927,25
08.06.2015 00:00;08.06.2015 00:15;10.723,00
08.06.2015 00:15;08.06.2015 00:30;10.559,50
08.06.2015 00:30;08.06.2015 00:45;10.488,25
08.06.2015 00:45;08.06.2015 01:00;10.334,25
08.06.2015 01:00;08.06.2015 01:15;10.259,00
