Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
29.06.2023 00:00;29.06.2023 00:15;11.070,00
29.06.2023 00:15;29.06.2023 00:30;10.926,75
29.06.2023 00:30;29.06.2023 00:45;10.827,75
29.06.2023 00:45;29.06.2023 01:00;10.748,25
29.06.2023 01:00;29.06.2023 01:15;10.553,00
29.06.2023 01:15;29.06.2023 01:30;10.504,75
29.06.2023 01:30;29.06.2023 01:45;10.411,50
29.06.2023 01:45;29.06.2023 02:00;10.378,00
29.06.2023 02:00;29.06.2023 02:15;10.281,50
29.06.2023 02:15;29.06.2023 02:30;10.167,25
29.06.2023 02:30;29.06.2023 02:45;10.168,50
29.06.2023 02:45;29.06.2023 03:00;10.134,25
29.06.2023 03:00;29.06.2023 03:15;10.107,25
29.06.2023 03:15;29.06.2023 03:30;10.142,50
29.06.2023 03:30;29.06.2023 03:45;10.153,75
29.06.2023 03:45;29.06.2023 04:00;10.162,75
29.06.2023 04:00;29.06.2023 04:15;10.234,00
29.06.2023 04:15;29.06.2023 04:30;10.283,25
29.06.2023 04:30;29.06.2023 04:45;10.374,50
29.06.2023 04:45;29.06.2023 05:00;10.439,00
29.06.2023 05:00;29.06.2023 05:15;10.632,00
29.06.2023 05:15;29.06.2023 05:30;10.733,00
29.06.2023 05:30;29.06.2023 05:45;10.978,50
29.06.2023 05:45;29.06.2023 06:00;11.333,25
29.06.2023 06:00;29.06.2023 06:15;12.065,50
29.06.2023 06:15;29.06.2023 06:30;12.492,00
29.06.2023 06:30;29.06.2023 06:45;12.827,25
29.06.2023 06:45;29.06.2023 07:00;13.102,00
29.06.2023 07:00;29.06.2023 07:15;13.502,50
29.06.2023 07:15;29.06.2023 07:30;13.850,25
29.06.2023 07:30;29.06.2023 07:45;14.051,75
29.06.2023 07:45;29.06.2023 08:00;14.260,00
29.06.2023 08:00;29.06.2023 08:15;14.432,00
29.06.2023 08:15;29.06.2023 08:30;14.658,25
29.06.2023 08:30;29.06.2023 08:45;14.806,00
29.06.2023 08:45;29.06.2023 09:00;14.908,50
29.06.2023 09:00;29.06.2023 09:15;14.934,00
29.06.2023 09:15;29.06.2023 09:30;15.000,75
29.06.2023 09:30;29.06.2023 09:45;15.167,25
29.06.2023 09:45;29.06.2023 10:00;15.208,75
29.06.2023 10:00;29.06.2023 10:15;15.215,25
29.06.2023 10:15;29.06.2023 10:30;15.206,50
29.06.2023 10:30;29.06.2023 10:45;15.214,25
29.06.2023 10:45;29.06.2023 11:00;15.242,25
29.06.2023 11:00;29.06.2023 11:15;15.299,25
29.06.2023 11:15;29.06.2023 11:30;15.313,50
29.06.2023 11:30;29.06.2023 11:45;15.366,75
29.06.2023 11:45;29.06.2023 12:00;15.444,75
29.06.2023 12:00;29.06.2023 12:15;15.329,25
29.06.2023 12:15;29.06.2023 12:30;15.354,50
29.06.2023 12:30;29.06.2023 12:45;15.350,75
29.06.2023 12:45;29.06.2023 13:00;15.391,25
29.06.2023 13:00;29.06.2023 13:15;15.398,25
29.06.2023 13:15;29.06.2023 13:30;15.406,25
29.06.2023 13:30;29.06.2023 13:45;15.242,50
29.06.2023 13:45;29.06.2023 14:00;15.098,25
29.06.2023 14:00;29.06.2023 14:15;15.025,00
29.06.2023 14:15;29.06.2023 14:30;14.938,00
