Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
05.07.2018 00:00;05.07.2018 00:15;12.626,00
05.07.2018 00:15;05.07.2018 00:30;12.381,75
05.07.2018 00:30;05.07.2018 00:45;12.282,50
05.07.2018 00:45;05.07.2018 01:00;12.190,25
05.07.2018 01:00;05.07.2018 01:15;12.012,00
05.07.2018 01:15;05.07.2018 01:30;11.838,50
05.07.2018 01:30;05.07.2018 01:45;11.802,00
05.07.2018 01:45;05.07.2018 02:00;11.737,00
05.07.2018 02:00;05.07.2018 02:15;11.572,50
05.07.2018 02:15;05.07.2018 02:30;11.443,25
05.07.2018 02:30;05.07.2018 02:45;11.493,75
05.07.2018 02:45;05.07.2018 03:00;11.513,50
05.07.2018 03:00;05.07.2018 03:15;11.517,50
05.07.2018 03:15;05.07.2018 03:30;11.476,75
05.07.2018 03:30;05.07.2018 03:45;11.530,25
05.07.2018 03:45;05.07.2018 04:00;11.544,00
05.07.2018 04:00;05.07.2018 04:15;11.632,25
05.07.2018 04:15;05.07.2018 04:30;11.688,25
05.07.2018 04:30;05.07.2018 04:45;11.754,75
05.07.2018 04:45;05.07.2018 05:00;11.841,25
05.07.2018 05:00;05.07.2018 05:15;12.109,00
05.07.2018 05:15;05.07.2018 05:30;12.207,75
05.07.2018 05:30;05.07.2018 05:45;12.427,00
05.07.2018 05:45;05.07.2018 06:00;12.760,50
05.07.2018 06:00;05.07.2018 06:15;13.542,25
05.07.2018 06:15;05.07.2018 06:30;14.089,75
05.07.2018 06:30;05.07.2018 06:45;14.537,50
05.07.2018 06:45;05.07.2018 07:00;14.879,50
05.07.2018 07:00;05.07.2018 07:15;15.310,75
05.07.2018 07:15;05.07.2018 07:30;15.619,75
05.07.2018 07:30;05.07.2018 07:45;15.895,25
05.07.2018 07:45;05.07.2018 08:00;16.197,25
05.07.2018 08:00;05.07.2018 08:15;16.443,50
05.07.2018 08:15;05.07.2018 08:30;16.609,00
05.07.2018 08:30;05.07.2018 08:45;16.758,25
05.07.2018 08:45;05.07.2018 09:00;16.916,25
05.07.2018 09:00;05.07.2018 09:15;16.884,50
05.07.2018 09:15;05.07.2018 09:30;17.027,00
05.07.2018 09:30;05.07.2018 09:45;17.192,00
05.07.2018 09:45;05.07.2018 10:00;17.307,25
05.07.2018 10:00;05.07.2018 10:15;17.387,00
05.07.2018 10:15;05.07.2018 10:30;17.424,00
05.07.2018 10:30;05.07.2018 10:45;17.514,75
05.07.2018 10:45;05.07.2018 11:00;17.622,00
05.07.2018 11:00;05.07.2018 11:15;17.655,75
05.07.2018 11:15;05.07.2018 11:30;17.709,50
05.07.2018 11:30;05.07.2018 11:45;17.763,25
05.07.2018 11:45;05.07.2018 12:00;17.749,25
05.07.2018 12:00;05.07.2018 12:15;17.606,75
05.07.2018 12:15;05.07.2018 12:30;17.586,00
05.07.2018 12:30;05.07.2018 12:45;17.607,75
05.07.2018 12:45;05.07.2018 13:00;17.559,25
05.07.2018 13:00;05.07.2018 13:15;17.568,25
05.07.2018 13:15;05.07.2018 13:30;17.535,50
05.07.2018 13:30;05.07.2018 13:45;17.435,75
05.07.2018 13:45;05.07.2018 14:00;17.371,50
05.07.2018 14:00;05.07.2018 14:15;17.337,00
05.07.2018 14:15;05.07.2018 14:30;17.252,75
05.07.2018 14:30;05.07.2018 14:45;17.246,75
05.07.2018 14:45;05.07.2018 15:00;17.152,50
05.07.2018 15:00;05.07.2018 15:15;17.162,50
05.07.2018 15:15;05.07.2018 15:30;17.048,00
05.07.2018 15:30;05.07.2018 15:45;16.913,75
05.07.2018 15:45;05.07.2018 16:00;16.903,00
05.07.2018 16:00;05.07.2018 16:15;16.813,25
05.07.2018 16:15;05.07.2018 16:30;16.727,25
05.07.2018 16:30;05.07.2018 16:45;16.685,00
05.07.2018 16:45;05.07.2018 17:00;16.610,25
05.07.2018 17:00;05.07.2018 17:15;16.658,25
05.07.2018 17:15;05.07.2018 17:30;16.630,50
05.07.2018 17:30;05.07.2018 17:45;16.674,25
05.07.2018 17:45;05.07.2018 18:00;16.686,50
05.07.2018 18:00;05.07.2018 18:15;16.638,25
05.07.2018 18:15;05.07.2018 18:30;16.513,00
05.07.2018 18:30;05.07.2018 18:45;16.528,75
05.07.2018 18:45;05.07.2018 19:00;16.483,50
05.07.2018 19:00;05.07.2018 19:15;16.402,50
05.07.2018 19:15;05.07.2018 19:30;16.336,25
05.07.2018 19:30;05.07.2018 19:45;16.216,75
05.07.2018 19:45;05.07.2018 20:00;16.104,25
05.07.2018 20:00;05.07.2018 20:15;15.836,50
05.07.2018 20:15;05.07.2018 20:30;15.630,00
05.07.2018 20:30;05.07.2018 20:45;15.485,50
05.07.2018 20:45;05.07.2018 21:00;15.327,50
05.07.2018 21:00;05.07.2018 21:15;15.185,75
05.07.2018 21:15;05.07.2018 21:30;15.015,25
05.07.2018 21:30;05.07.2018 21:45;14.859,50
05.07.2018 21:45;05.07.2018 22:00;14.721,75
05.07.2018 22:00;05.07.2018 22:15;14.542,50
05.07.2018 22:15;05.07.2018 22:30;14.491,75
05.07.2018 22:30;05.07.2018 22:45;14.305,25
05.07.2018 22:45;05.07.2018 23:00;14.064,00
05.07.2018 23:00;05.07.2018 23:15;13.680,25
