Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
07.07.2015 00:00;07.07.2015 00:15;12.383,25
07.07.2015 00:15;07.07.2015 00:30;12.044,50
07.07.2015 00:30;07.07.2015 00:45;11.923,25
07.07.2015 00:45;07.07.2015 01:00;11.766,50
07.07.2015 01:00;07.07.2015 01:15;11.606,50
07.07.2015 01:15;07.07.2015 01:30;11.529,25
07.07.2015 01:30;07.07.2015 01:45;11.469,50
07.07.2015 01:45;07.07.2015 02:00;11.341,00
07.07.2015 02:00;07.07.2015 02:15;11.249,50
07.07.2015 02:15;07.07.2015 02:30;11.190,00
07.07.2015 02:30;07.07.2015 02:45;11.199,25
07.07.2015 02:45;07.07.2015 03:00;11.211,00
07.07.2015 03:00;07.07.2015 03:15;11.204,25
07.07.2015 03:15;07.07.2015 03:30;11.240,50
07.07.2015 03:30;07.07.2015 03:45;11.257,50
07.07.2015 03:45;07.07.2015 04:00;11.295,75
07.07.2015 04:00;07.07.2015 04:15;11.353,50
07.07.2015 04:15;07.07.2015 04:30;11.412,00
07.07.2015 04:30;07.07.2015 04:45;11.525,25
07.07.2015 04:45;07.07.2015 05:00;11.598,75
07.07.2015 05:00;07.07.2015 05:15;11.823,75
07.07.2015 05:15;07.07.2015 05:30;11.949,00
07.07.2015 05:30;07.07.2015 05:45;12.243,00
07.07.2015 05:45;07.07.2015 06:00;12.622,50
07.07.2015 06:00;07.07.2015 06:15;13.369,75
07.07.2015 06:15;07.07.2015 06:30;13.941,25
07.07.2015 06:30;07.07.2015 06:45;14.333,75
07.07.2015 06:45;07.07.2015 07:00;14.809,50
07.07.2015 07:00;07.07.2015 07:15;15.293,00
07.07.2015 07:15;07.07.2015 07:30;15.646,50
07.07.2015 07:30;07.07.2015 07:45;15.921,50
07.07.2015 07:45;07.07.2015 08:00;16.214,25
07.07.2015 08:00;07.07.2015 08:15;16.478,00
07.07.2015 08:15;07.07.2015 08:30;16.624,00
07.07.2015 08:30;07.07.2015 08:45;16.728,25
07.07.2015 08:45;07.07.2015 09:00;16.775,50
07.07.2015 09:00;07.07.2015 09:15;16.806,75
07.07.2015 09:15;07.07.2015 09:30;16.910,50
07.07.2015 09:30;07.07.2015 09:45;16.922,75
07.07.2015 09:45;07.07.2015 10:00;17.158,75
07.07.2015 10:00;07.07.2015 10:15;17.216,25
07.07.2015 10:15;07.07.2015 10:30;17.300,75
07.07.2015 10:30;07.07.2015 10:45;17.407,25
07.07.2015 10:45;07.07.2015 11:00;17.509,00
07.07.2015 11:00;07.07.2015 11:15;17.559,75
07.07.2015 11:15;07.07.2015 11:30;17.736,75
07.07.2015 11:30;07.07.2015 11:45;17.765,75
07.07.2015 11:45;07.07.2015 12:00;17.704,75
