date_id;date_id;Gesamtstromverbrauch
2014-06-12T00:00:00;2014-06-12T00:00:00;53.077
2014-06-12T01:00:00;2014-06-12T01:00:00;52.538
2014-06-12T02:00:00;2014-06-12T02:00:00;51.527
2014-06-12T03:00:00;2014-06-12T03:00:00;51.617
2014-06-12T04:00:00;2014-06-12T04:00:00;52.186
2014-06-12T05:00:00;2014-06-12T05:00:00;54.654
2014-06-12T06:00:00;2014-06-12T06:00:00;57.851
2014-06-12T07:00:00;2014-06-12T07:00:00;63.591
2014-06-12T08:00:00;2014-06-12T08:00:00;68.035
2014-06-12T09:00:00;2014-06-12T09:00:00;69.77
2014-06-12T10:00:00;2014-06-12T10:00:00;71.931
2014-06-12T11:00:00;2014-06-12T11:00:00;72.953
2014-06-12T12:00:00;2014-06-12T12:00:00;71.38
2014-06-12T13:00:00;2014-06-12T13:00:00;70.583
2014-06-12T14:00:00;2014-06-12T14:00:00;69.884
2014-06-12T15:00:00;2014-06-12T15:00:00;69.045
2014-06-12T16:00:00;2014-06-12T16:00:00;67.619
2014-06-12T17:00:00;2014-06-12T17:00:00;66.46
2014-06-12T18:00:00;2014-06-12T18:00:00;66.297
2014-06-12T19:00:00;2014-06-12T19:00:00;64.847
2014-06-12T20:00:00;2014-06-12T20:00:00;61.459
2014-06-12T21:00:00;2014-06-12T21:00:00;59.327
2014-06-12T22:00:00;2014-06-12T22:00:00;57.553
2014-06-12T23:00:00;2014-06-12T23:00:00;54.14
2014-06-13T00:00:00;2014-06-13T00:00:00;51.938
2014-06-13T01:00:00;2014-06-13T01:00:00;51.056
2014-06-13T02:00:00;2014-06-13T02:00:00;50.59
2014-06-13T03:00:00;2014-06-13T03:00:00;55.12
2014-06-13T04:00:00;2014-06-13T04:00:00;56.645
2014-06-13T05:00:00;2014-06-13T05:00:00;57.22
2014-06-13T06:00:00;2014-06-13T06:00:00;58.908
2014-06-13T07:00:00;2014-06-13T07:00:00;63.8
2014-06-13T08:00:00;2014-06-13T08:00:00;67.762
2014-06-13T09:00:00;2014-06-13T09:00:00;69.349
2014-06-13T10:00:00;2014-06-13T10:00:00;71.139
2014-06-13T11:00:00;2014-06-13T11:00:00;73.155
2014-06-13T12:00:00;2014-06-13T12:00:00;72.681
2014-06-13T13:00:00;2014-06-13T13:00:00;73.39
2014-06-13T14:00:00;2014-06-13T14:00:00;72.031
2014-06-13T15:00:00;2014-06-13T15:00:00;70.76
2014-06-13T16:00:00;2014-06-13T16:00:00;69.557
2014-06-13T17:00:00;2014-06-13T17:00:00;68.535
2014-06-13T18:00:00;2014-06-13T18:00:00;67.173
2014-06-13T19:00:00;2014-06-13T19:00:00;65.011
2014-06-13T20:00:00;2014-06-13T20:00:00;62.078
2014-06-13T21:00:00;2014-06-13T21:00:00;59.229
2014-06-13T22:00:00;2014-06-13T22:00:00;56.989
