Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
17.06.2021 00:00;17.06.2021 00:15;12.713,50
17.06.2021 00:15;17.06.2021 00:30;12.551,00
17.06.2021 00:30;17.06.2021 00:45;12.547,50
17.06.2021 00:45;17.06.2021 01:00;12.453,00
17.06.2021 01:00;17.06.2021 01:15;12.315,50
17.06.2021 01:15;17.06.2021 01:30;12.220,75
17.06.2021 01:30;17.06.2021 01:45;12.138,75
17.06.2021 01:45;17.06.2021 02:00;12.085,50
17.06.2021 02:00;17.06.2021 02:15;11.878,75
17.06.2021 02:15;17.06.2021 02:30;11.901,75
17.06.2021 02:30;17.06.2021 02:45;11.838,00
17.06.2021 02:45;17.06.2021 03:00;11.793,75
17.06.2021 03:00;17.06.2021 03:15;11.812,50
17.06.2021 03:15;17.06.2021 03:30;11.778,00
17.06.2021 03:30;17.06.2021 03:45;11.748,75
17.06.2021 03:45;17.06.2021 04:00;11.781,25
17.06.2021 04:00;17.06.2021 04:15;11.910,00
17.06.2021 04:15;17.06.2021 04:30;11.945,50
17.06.2021 04:30;17.06.2021 04:45;11.977,50
17.06.2021 04:45;17.06.2021 05:00;12.084,25
17.06.2021 05:00;17.06.2021 05:15;12.347,50
17.06.2021 05:15;17.06.2021 05:30;12.488,00
17.06.2021 05:30;17.06.2021 05:45;12.658,75
17.06.2021 05:45;17.06.2021 06:00;12.995,50
17.06.2021 06:00;17.06.2021 06:15;13.797,00
17.06.2021 06:15;17.06.2021 06:30;14.278,25
17.06.2021 06:30;17.06.2021 06:45;14.557,50
17.06.2021 06:45;17.06.2021 07:00;14.856,00
17.06.2021 07:00;17.06.2021 07:15;15.360,50
17.06.2021 07:15;17.06.2021 07:30;15.625,75
17.06.2021 07:30;17.06.2021 07:45;15.876,25
17.06.2021 07:45;17.06.2021 08:00;16.105,00
17.06.2021 08:00;17.06.2021 08:15;16.328,50
17.06.2021 08:15;17.06.2021 08:30;16.579,00
17.06.2021 08:30;17.06.2021 08:45;16.626,75
17.06.2021 08:45;17.06.2021 09:00;16.729,00
17.06.2021 09:00;17.06.2021 09:15;16.621,00
17.06.2021 09:15;17.06.2021 09:30;16.736,25
17.06.2021 09:30;17.06.2021 09:45;16.883,50
17.06.2021 09:45;17.06.2021 10:00;17.107,25
17.06.2021 10:00;17.06.2021 10:15;17.149,25
17.06.2021 10:15;17.06.2021 10:30;17.263,25
17.06.2021 10:30;17.06.2021 10:45;17.339,75
17.06.2021 10:45;17.06.2021 11:00;17.456,00
17.06.2021 11:00;17.06.2021 11:15;17.566,50
17.06.2021 11:15;17.06.2021 11:30;17.651,50
17.06.2021 11:30;17.06.2021 11:45;17.721,75
17.06.2021 11:45;17.06.2021 12:00;17.675,75
17.06.2021 12:00;17.06.2021 12:15;17.550,75
17.06.2021 12:15;17.06.2021 12:30;17.504,75
17.06.2021 12:30;17.06.2021 12:45;17.724,00
17.06.2021 12:45;17.06.2021 13:00;17.737,75
17.06.2021 13:00;17.06.2021 13:15;17.666,75
17.06.2021 13:15;17.06.2021 13:30;17.601,25
17.06.2021 13:30;17.06.2021 13:45;17.488,50
17.06.2021 13:45;17.06.2021 14:00;17.385,25
17.06.2021 14:00;17.06.2021 14:15;17.476,50
17.06.2021 14:15;17.06.2021 14:30;17.427,25
17.06.2021 14:30;17.06.2021 14:45;17.348,25
17.06.2021 14:45;17.06.2021 15:00;17.176,50
17.06.2021 15:00;17.06.2021 15:15;17.192,75
17.06.2021 15:15;17.06.2021 15:30;17.104,75
17.06.2021 15:30;17.06.2021 15:45;16.984,75
17.06.2021 15:45;17.06.2021 16:00;16.940,00
17.06.2021 16:00;17.06.2021 16:15;16.965,25
17.06.2021 16:15;17.06.2021 16:30;16.792,75
17.06.2021 16:30;17.06.2021 16:45;16.767,50
17.06.2021 16:45;17.06.2021 17:00;16.737,25
17.06.2021 17:00;17.06.2021 17:15;16.862,00
17.06.2021 17:15;17.06.2021 17:30;16.767,25
17.06.2021 17:30;17.06.2021 17:45;16.778,50
17.06.2021 17:45;17.06.2021 18:00;16.720,25
17.06.2021 18:00;17.06.2021 18:15;16.597,75
17.06.2021 18:15;17.06.2021 18:30;16.422,75
17.06.2021 18:30;17.06.2021 18:45;16.376,75
17.06.2021 18:45;17.06.2021 19:00;16.392,25
17.06.2021 19:00;17.06.2021 19:15;16.314,75
17.06.2021 19:15;17.06.2021 19:30;16.171,00
17.06.2021 19:30;17.06.2021 19:45;16.059,50
17.06.2021 19:45;17.06.2021 20:00;15.960,00
17.06.2021 20:00;17.06.2021 20:15;15.827,25
17.06.2021 20:15;17.06.2021 20:30;15.658,75
17.06.2021 20:30;17.06.2021 20:45;15.529,75
17.06.2021 20:45;17.06.2021 21:00;15.367,00
17.06.2021 21:00;17.06.2021 21:15;15.242,25
17.06.2021 21:15;17.06.2021 21:30;15.109,25
17.06.2021 21:30;17.06.2021 21:45;14.972,00
17.06.2021 21:45;17.06.2021 22:00;14.881,50
17.06.2021 22:00;17.06.2021 22:15;14.814,25
17.06.2021 22:15;17.06.2021 22:30;14.692,00
17.06.2021 22:30;17.06.2021 22:45;14.410,50
17.06.2021 22:45;17.06.2021 23:00;14.258,75
17.06.2021 23:00;17.06.2021 23:15;13.942,25
17.06.2021 23:15;17.06.2021 23:30;13.641,50
17.06.2021 23:30;17.06.2021 23:45;13.453,75
