Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
08.07.2023 00:00;08.07.2023 00:15;10.475,50
08.07.2023 00:15;08.07.2023 00:30;10.342,00
08.07.2023 00:30;08.07.2023 00:45;10.252,25
08.07.2023 00:45;08.07.2023 01:00;10.092,00
08.07.2023 01:00;08.07.2023 01:15;9.981,50
08.07.2023 01:15;08.07.2023 01:30;9.858,00
08.07.2023 01:30;08.07.2023 01:45;9.770,00
08.07.2023 01:45;08.07.2023 02:00;9.684,50
08.07.2023 02:00;08.07.2023 02:15;9.565,25
08.07.2023 02:15;08.07.2023 02:30;9.478,00
08.07.2023 02:30;08.07.2023 02:45;9.454,00
08.07.2023 02:45;08.07.2023 03:00;9.411,00
08.07.2023 03:00;08.07.2023 03:15;9.382,00
08.07.2023 03:15;08.07.2023 03:30;9.314,50
08.07.2023 03:30;08.07.2023 03:45;9.262,00
08.07.2023 03:45;08.07.2023 04:00;9.289,00
08.07.2023 04:00;08.07.2023 04:15;9.298,00
08.07.2023 04:15;08.07.2023 04:30;9.275,50
08.07.2023 04:30;08.07.2023 04:45;9.265,50
08.07.2023 04:45;08.07.2023 05:00;9.211,25
08.07.2023 05:00;08.07.2023 05:15;9.250,50
08.07.2023 05:15;08.07.2023 05:30;9.241,25
08.07.2023 05:30;08.07.2023 05:45;9.223,50
08.07.2023 05:45;08.07.2023 06:00;9.300,50
08.07.2023 06:00;08.07.2023 06:15;9.655,00
08.07.2023 06:15;08.07.2023 06:30;9.825,00
08.07.2023 06:30;08.07.2023 06:45;9.960,00
08.07.2023 06:45;08.07.2023 07:00;10.091,00
08.07.2023 07:00;08.07.2023 07:15;10.338,50
08.07.2023 07:15;08.07.2023 07:30;10.506,00
08.07.2023 07:30;08.07.2023 07:45;10.676,50
08.07.2023 07:45;08.07.2023 08:00;10.952,00
08.07.2023 08:00;08.07.2023 08:15;11.029,50
08.07.2023 08:15;08.07.2023 08:30;11.251,75
08.07.2023 08:30;08.07.2023 08:45;11.478,00
08.07.2023 08:45;08.07.2023 09:00;11.645,50
08.07.2023 09:00;08.07.2023 09:15;11.954,25
08.07.2023 09:15;08.07.2023 09:30;12.107,00
08.07.2023 09:30;08.07.2023 09:45;12.094,25
08.07.2023 09:45;08.07.2023 10:00;12.121,25
08.07.2023 10:00;08.07.2023 10:15;12.202,75
08.07.2023 10:15;08.07.2023 10:30;12.220,50
08.07.2023 10:30;08.07.2023 10:45;12.295,75
08.07.2023 10:45;08.07.2023 11:00;12.344,00
08.07.2023 11:00;08.07.2023 11:15;12.351,50
08.07.2023 11:15;08.07.2023 11:30;12.328,25
08.07.2023 11:30;08.07.2023 11:45;12.376,75
08.07.2023 11:45;08.07.2023 12:00;12.401,75
08.07.2023 12:00;08.07.2023 12:15;12.295,00
08.07.2023 12:15;08.07.2023 12:30;12.304,75
08.07.2023 12:30;08.07.2023 12:45;12.207,50
08.07.2023 12:45;08.07.2023 13:00;12.093,50
08.07.2023 13:00;08.07.2023 13:15;12.009,75
08.07.2023 13:15;08.07.2023 13:30;11.914,00
08.07.2023 13:30;08.07.2023 13:45;11.866,00
08.07.2023 13:45;08.07.2023 14:00;11.751,00
08.07.2023 14:00;08.07.2023 14:15;11.666,00
08.07.2023 14:15;08.07.2023 14:30;11.619,25
08.07.2023 14:30;08.07.2023 14:45;11.661,75
08.07.2023 14:45;08.07.2023 15:00;11.611,00
08.07.2023 15:00;08.07.2023 15:15;11.565,75
08.07.2023 15:15;08.07.2023 15:30;11.493,75
08.07.2023 15:30;08.07.2023 15:45;11.560,00
08.07.2023 15:45;08.07.2023 16:00;11.539,50
08.07.2023 16:00;08.07.2023 16:15;11.505,00
08.07.2023 16:15;08.07.2023 16:30;11.492,25
08.07.2023 16:30;08.07.2023 16:45;11.553,75
08.07.2023 16:45;08.07.2023 17:00;11.507,75
08.07.2023 17:00;08.07.2023 17:15;11.650,50
08.07.2023 17:15;08.07.2023 17:30;11.540,50
08.07.2023 17:30;08.07.2023 17:45;11.658,00
08.07.2023 17:45;08.07.2023 18:00;11.701,00
08.07.2023 18:00;08.07.2023 18:15;11.806,00
08.07.2023 18:15;08.07.2023 18:30;11.705,50
08.07.2023 18:30;08.07.2023 18:45;11.763,50
08.07.2023 18:45;08.07.2023 19:00;11.673,50
08.07.2023 19:00;08.07.2023 19:15;11.654,25
08.07.2023 19:15;08.07.2023 19:30;11.493,75
08.07.2023 19:30;08.07.2023 19:45;11.534,75
08.07.2023 19:45;08.07.2023 20:00;11.519,00
08.07.2023 20:00;08.07.2023 20:15;11.384,25
08.07.2023 20:15;08.07.2023 20:30;11.173,25
08.07.2023 20:30;08.07.2023 20:45;11.059,00
08.07.2023 20:45;08.07.2023 21:00;11.003,50
08.07.2023 21:00;08.07.2023 21:15;10.914,50
08.07.2023 21:15;08.07.2023 21:30;10.872,25
08.07.2023 21:30;08.07.2023 21:45;10.900,25
08.07.2023 21:45;08.07.2023 22:00;10.942,25
08.07.2023 22:00;08.07.2023 22:15;10.891,25
08.07.2023 22:15;08.07.2023 22:30;10.852,00
08.07.2023 22:30;08.07.2023 22:45;10.801,50
08.07.2023 22:45;08.07.2023 23:00;10.629,25
08.07.2023 23:00;08.07.2023 23:15;10.431,75
08.07.2023 23:15;08.07.2023 23:30;10.358,50
08.07.2023 23:30;08.07.2023 23:45;10.242,25
08.07.2023 23:45;09.07.2023 00:00;10.092,50
09.07.2023 00:00;09.07.2023 00:15;9.888,25
09.07.2023 00:15;09.07.2023 00:30;9.747,50
09.07.2023 00:30;09.07.2023 00:45;9.593,50
09.07.2023 00:45;09.07.2023 01:00;9.472,00
09.07.2023 01:00;09.07.2023 01:15;9.318,25
09.07.2023 01:15;09.07.2023 01:30;9.231,50
09.07.2023 01:30;09.07.2023 01:45;9.137,00
09.07.2023 01:45;09.07.2023 02:00;9.043,50
09.07.2023 02:00;09.07.2023 02:15;8.963,00
09.07.2023 02:15;09.07.2023 02:30;8.887,00
09.07.2023 02:30;09.07.2023 02:45;8.813,25
09.07.2023 02:45;09.07.2023 03:00;8.737,00
09.07.2023 03:00;09.07.2023 03:15;8.665,50
09.07.2023 03:15;09.07.2023 03:30;8.626,50
09.07.2023 03:30;09.07.2023 03:45;8.586,75
09.07.2023 03:45;09.07.2023 04:00;8.542,25
09.07.2023 04:00;09.07.2023 04:15;8.560,75
09.07.2023 04:15;09.07.2023 04:30;8.524,50
09.07.2023 04:30;09.07.2023 04:45;8.539,75
09.07.2023 04:45;09.07.2023 05:00;8.493,25
09.07.2023 05:00;09.07.2023 05:15;8.500,25
09.07.2023 05:15;09.07.2023 05:30;8.435,00
09.07.2023 05:30;09.07.2023 05:45;8.437,25
09.07.2023 05:45;09.07.2023 06:00;8.391,00
09.07.2023 06:00;09.07.2023 06:15;8.582,25
09.07.2023 06:15;09.07.2023 06:30;8.655,75
09.07.2023 06:30;09.07.2023 06:45;8.805,00
09.07.2023 06:45;09.07.2023 07:00;8.921,00
09.07.2023 07:00;09.07.2023 07:15;9.171,00
09.07.2023 07:15;09.07.2023 07:30;9.331,00
09.07.2023 07:30;09.07.2023 07:45;9.443,00
09.07.2023 07:45;09.07.2023 08:00;9.657,00
09.07.2023 08:00;09.07.2023 08:15;9.910,00
09.07.2023 08:15;09.07.2023 08:30;10.110,75
09.07.2023 08:30;09.07.2023 08:45;10.249,00
09.07.2023 08:45;09.07.2023 09:00;10.456,00
09.07.2023 09:00;09.07.2023 09:15;10.563,75
09.07.2023 09:15;09.07.2023 09:30;10.727,75
09.07.2023 09:30;09.07.2023 09:45;10.865,00
09.07.2023 09:45;09.07.2023 10:00;10.961,25
09.07.2023 10:00;09.07.2023 10:15;11.074,75
09.07.2023 10:15;09.07.2023 10:30;11.173,50
09.07.2023 10:30;09.07.2023 10:45;11.280,50
09.07.2023 10:45;09.07.2023 11:00;11.393,25
09.07.2023 11:00;09.07.2023 11:15;11.489,00
09.07.2023 11:15;09.07.2023 11:30;11.494,00
09.07.2023 11:30;09.07.2023 11:45;11.584,25
09.07.2023 11:45;09.07.2023 12:00;11.587,75
09.07.2023 12:00;09.07.2023 12:15;11.549,00
09.07.2023 12:15;09.07.2023 12:30;11.495,50
09.07.2023 12:30;09.07.2023 12:45;11.487,50
09.07.2023 12:45;09.07.2023 13:00;11.387,75
09.07.2023 13:00;09.07.2023 13:15;11.253,00
09.07.2023 13:15;09.07.2023 13:30;11.158,75
