Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
23.06.2017 00:00;23.06.2017 00:15;12.757,00
23.06.2017 00:15;23.06.2017 00:30;12.576,00
23.06.2017 00:30;23.06.2017 00:45;12.448,50
23.06.2017 00:45;23.06.2017 01:00;12.317,50
23.06.2017 01:00;23.06.2017 01:15;12.196,25
23.06.2017 01:15;23.06.2017 01:30;12.049,50
23.06.2017 01:30;23.06.2017 01:45;12.017,25
23.06.2017 01:45;23.06.2017 02:00;11.925,75
23.06.2017 02:00;23.06.2017 02:15;11.848,50
23.06.2017 02:15;23.06.2017 02:30;11.795,50
23.06.2017 02:30;23.06.2017 02:45;11.854,25
23.06.2017 02:45;23.06.2017 03:00;11.860,50
23.06.2017 03:00;23.06.2017 03:15;11.890,50
23.06.2017 03:15;23.06.2017 03:30;11.937,50
23.06.2017 03:30;23.06.2017 03:45;11.903,00
23.06.2017 03:45;23.06.2017 04:00;11.880,00
23.06.2017 04:00;23.06.2017 04:15;11.985,50
23.06.2017 04:15;23.06.2017 04:30;12.179,75
23.06.2017 04:30;23.06.2017 04:45;12.187,00
23.06.2017 04:45;23.06.2017 05:00;12.283,00
23.06.2017 05:00;23.06.2017 05:15;12.551,75
23.06.2017 05:15;23.06.2017 05:30;12.661,50
23.06.2017 05:30;23.06.2017 05:45;12.899,50
23.06.2017 05:45;23.06.2017 06:00;13.233,50
23.06.2017 06:00;23.06.2017 06:15;13.987,50
23.06.2017 06:15;23.06.2017 06:30;14.468,75
23.06.2017 06:30;23.06.2017 06:45;14.885,50
23.06.2017 06:45;23.06.2017 07:00;15.235,00
23.06.2017 07:00;23.06.2017 07:15;15.639,25
23.06.2017 07:15;23.06.2017 07:30;15.920,75
23.06.2017 07:30;23.06.2017 07:45;16.077,50
23.06.2017 07:45;23.06.2017 08:00;16.250,25
23.06.2017 08:00;23.06.2017 08:15;16.549,25
23.06.2017 08:15;23.06.2017 08:30;16.775,00
23.06.2017 08:30;23.06.2017 08:45;16.795,50
23.06.2017 08:45;23.06.2017 09:00;16.887,75
23.06.2017 09:00;23.06.2017 09:15;16.799,75
23.06.2017 09:15;23.06.2017 09:30;16.978,50
23.06.2017 09:30;23.06.2017 09:45;17.069,25
23.06.2017 09:45;23.06.2017 10:00;17.199,50
23.06.2017 10:00;23.06.2017 10:15;17.222,50
23.06.2017 10:15;23.06.2017 10:30;17.367,00
23.06.2017 10:30;23.06.2017 10:45;17.464,75
23.06.2017 10:45;23.06.2017 11:00;17.616,25
23.06.2017 11:00;23.06.2017 11:15;17.626,00
23.06.2017 11:15;23.06.2017 11:30;17.642,75
23.06.2017 11:30;23.06.2017 11:45;17.726,50
23.06.2017 11:45;23.06.2017 12:00;17.699,00
23.06.2017 12:00;23.06.2017 12:15;17.567,00
23.06.2017 12:15;23.06.2017 12:30;17.431,00
23.06.2017 12:30;23.06.2017 12:45;17.316,75
23.06.2017 12:45;23.06.2017 13:00;17.361,25
23.06.2017 13:00;23.06.2017 13:15;17.334,75
23.06.2017 13:15;23.06.2017 13:30;17.225,50
23.06.2017 13:30;23.06.2017 13:45;17.222,00
23.06.2017 13:45;23.06.2017 14:00;17.034,50
23.06.2017 14:00;23.06.2017 14:15;16.959,75
23.06.2017 14:15;23.06.2017 14:30;16.898,00
23.06.2017 14:30;23.06.2017 14:45;16.927,00
23.06.2017 14:45;23.06.2017 15:00;16.739,00
