Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
11.07.2017 00:00;11.07.2017 00:15;12.183,00
11.07.2017 00:15;11.07.2017 00:30;11.978,25
11.07.2017 00:30;11.07.2017 00:45;11.806,00
11.07.2017 00:45;11.07.2017 01:00;11.682,50
11.07.2017 01:00;11.07.2017 01:15;11.625,75
11.07.2017 01:15;11.07.2017 01:30;11.533,50
11.07.2017 01:30;11.07.2017 01:45;11.453,00
11.07.2017 01:45;11.07.2017 02:00;11.403,50
11.07.2017 02:00;11.07.2017 02:15;11.288,75
11.07.2017 02:15;11.07.2017 02:30;11.218,00
11.07.2017 02:30;11.07.2017 02:45;11.135,50
11.07.2017 02:45;11.07.2017 03:00;11.151,00
11.07.2017 03:00;11.07.2017 03:15;11.212,50
11.07.2017 03:15;11.07.2017 03:30;11.240,25
11.07.2017 03:30;11.07.2017 03:45;11.230,00
11.07.2017 03:45;11.07.2017 04:00;11.208,25
11.07.2017 04:00;11.07.2017 04:15;11.324,25
11.07.2017 04:15;11.07.2017 04:30;11.403,50
11.07.2017 04:30;11.07.2017 04:45;11.537,00
11.07.2017 04:45;11.07.2017 05:00;11.680,75
11.07.2017 05:00;11.07.2017 05:15;11.877,75
11.07.2017 05:15;11.07.2017 05:30;11.989,50
11.07.2017 05:30;11.07.2017 05:45;12.245,75
11.07.2017 05:45;11.07.2017 06:00;12.588,75
11.07.2017 06:00;11.07.2017 06:15;13.274,50
11.07.2017 06:15;11.07.2017 06:30;13.779,25
11.07.2017 06:30;11.07.2017 06:45;14.203,25
11.07.2017 06:45;11.07.2017 07:00;14.581,75
11.07.2017 07:00;11.07.2017 07:15;15.044,00
11.07.2017 07:15;11.07.2017 07:30;15.406,50
11.07.2017 07:30;11.07.2017 07:45;15.645,00
11.07.2017 07:45;11.07.2017 08:00;15.953,25
11.07.2017 08:00;11.07.2017 08:15;16.263,25
11.07.2017 08:15;11.07.2017 08:30;16.354,00
11.07.2017 08:30;11.07.2017 08:45;16.427,25
11.07.2017 08:45;11.07.2017 09:00;16.522,00
11.07.2017 09:00;11.07.2017 09:15;16.504,00
11.07.2017 09:15;11.07.2017 09:30;16.596,25
11.07.2017 09:30;11.07.2017 09:45;16.725,75
11.07.2017 09:45;11.07.2017 10:00;16.808,50
11.07.2017 10:00;11.07.2017 10:15;16.904,00
11.07.2017 10:15;11.07.2017 10:30;17.002,00
11.07.2017 10:30;11.07.2017 10:45;17.088,75
11.07.2017 10:45;11.07.2017 11:00;17.157,00
11.07.2017 11:00;11.07.2017 11:15;17.195,75
11.07.2017 11:15;11.07.2017 11:30;17.310,75
11.07.2017 11:30;11.07.2017 11:45;17.416,50
11.07.2017 11:45;11.07.2017 12:00;17.379,25
11.07.2017 12:00;11.07.2017 12:15;17.206,25
11.07.2017 12:15;11.07.2017 12:30;17.190,25
11.07.2017 12:30;11.07.2017 12:45;17.281,75
11.07.2017 12:45;11.07.2017 13:00;17.263,50
11.07.2017 13:00;11.07.2017 13:15;17.316,00
11.07.2017 13:15;11.07.2017 13:30;17.358,00
11.07.2017 13:30;11.07.2017 13:45;17.246,25
11.07.2017 13:45;11.07.2017 14:00;17.151,75
11.07.2017 14:00;11.07.2017 14:15;17.138,75
11.07.2017 14:15;11.07.2017 14:30;17.122,00
11.07.2017 14:30;11.07.2017 14:45;17.018,00
11.07.2017 14:45;11.07.2017 15:00;16.849,50
11.07.2017 15:00;11.07.2017 15:15;16.735,75
11.07.2017 15:15;11.07.2017 15:30;16.648,50
11.07.2017 15:30;11.07.2017 15:45;16.548,50
11.07.2017 15:45;11.07.2017 16:00;16.538,00
11.07.2017 16:00;11.07.2017 16:15;16.446,25
11.07.2017 16:15;11.07.2017 16:30;16.396,00
11.07.2017 16:30;11.07.2017 16:45;16.262,25
11.07.2017 16:45;11.07.2017 17:00;16.226,50
11.07.2017 17:00;11.07.2017 17:15;16.150,50
11.07.2017 17:15;11.07.2017 17:30;16.115,50
11.07.2017 17:30;11.07.2017 17:45;16.147,50
11.07.2017 17:45;11.07.2017 18:00;16.157,00
11.07.2017 18:00;11.07.2017 18:15;16.021,00
11.07.2017 18:15;11.07.2017 18:30;15.975,25
11.07.2017 18:30;11.07.2017 18:45;15.982,50
11.07.2017 18:45;11.07.2017 19:00;15.988,00
11.07.2017 19:00;11.07.2017 19:15;15.903,75
11.07.2017 19:15;11.07.2017 19:30;15.733,00
11.07.2017 19:30;11.07.2017 19:45;15.585,75
11.07.2017 19:45;11.07.2017 20:00;15.455,75
11.07.2017 20:00;11.07.2017 20:15;15.220,00
11.07.2017 20:15;11.07.2017 20:30;14.979,25
11.07.2017 20:30;11.07.2017 20:45;14.807,00
11.07.2017 20:45;11.07.2017 21:00;14.659,75
11.07.2017 21:00;11.07.2017 21:15;14.509,50
11.07.2017 21:15;11.07.2017 21:30;14.380,25
11.07.2017 21:30;11.07.2017 21:45;14.272,75
11.07.2017 21:45;11.07.2017 22:00;14.173,25
11.07.2017 22:00;11.07.2017 22:15;14.114,25
11.07.2017 22:15;11.07.2017 22:30;13.920,75
11.07.2017 22:30;11.07.2017 22:45;13.667,00
11.07.2017 22:45;11.07.2017 23:00;13.381,75
11.07.2017 23:00;11.07.2017 23:15;13.064,50
11.07.2017 23:15;11.07.2017 23:30;12.826,75
11.07.2017 23:30;11.07.2017 23:45;12.603,00
11.07.2017 23:45;12.07.2017 00:00;12.420,00
12.07.2017 00:00;12.07.2017 00:15;12.200,50
12.07.2017 00:15;12.07.2017 00:30;12.009,75
12.07.2017 00:30;12.07.2017 00:45;11.836,50
12.07.2017 00:45;12.07.2017 01:00;11.672,50
12.07.2017 01:00;12.07.2017 01:15;11.587,25
12.07.2017 01:15;12.07.2017 01:30;11.449,75
