Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
15.06.2019 00:00;15.06.2019 00:15;11.773,00
15.06.2019 00:15;15.06.2019 00:30;11.586,50
15.06.2019 00:30;15.06.2019 00:45;11.404,25
15.06.2019 00:45;15.06.2019 01:00;11.259,50
15.06.2019 01:00;15.06.2019 01:15;11.111,25
15.06.2019 01:15;15.06.2019 01:30;10.969,75
15.06.2019 01:30;15.06.2019 01:45;10.848,50
15.06.2019 01:45;15.06.2019 02:00;10.794,00
15.06.2019 02:00;15.06.2019 02:15;10.675,50
15.06.2019 02:15;15.06.2019 02:30;10.586,50
15.06.2019 02:30;15.06.2019 02:45;10.538,25
15.06.2019 02:45;15.06.2019 03:00;10.523,00
15.06.2019 03:00;15.06.2019 03:15;10.500,75
15.06.2019 03:15;15.06.2019 03:30;10.455,00
15.06.2019 03:30;15.06.2019 03:45;10.447,00
15.06.2019 03:45;15.06.2019 04:00;10.487,00
15.06.2019 04:00;15.06.2019 04:15;10.393,00
15.06.2019 04:15;15.06.2019 04:30;10.354,00
15.06.2019 04:30;15.06.2019 04:45;10.313,25
15.06.2019 04:45;15.06.2019 05:00;10.263,00
15.06.2019 05:00;15.06.2019 05:15;10.163,75
15.06.2019 05:15;15.06.2019 05:30;10.077,50
15.06.2019 05:30;15.06.2019 05:45;10.096,50
15.06.2019 05:45;15.06.2019 06:00;10.245,75
15.06.2019 06:00;15.06.2019 06:15;10.617,00
15.06.2019 06:15;15.06.2019 06:30;10.785,00
15.06.2019 06:30;15.06.2019 06:45;10.985,75
15.06.2019 06:45;15.06.2019 07:00;11.266,00
15.06.2019 07:00;15.06.2019 07:15;11.605,50
15.06.2019 07:15;15.06.2019 07:30;11.804,75
15.06.2019 07:30;15.06.2019 07:45;12.038,00
15.06.2019 07:45;15.06.2019 08:00;12.232,00
15.06.2019 08:00;15.06.2019 08:15;12.328,25
15.06.2019 08:15;15.06.2019 08:30;12.525,25
15.06.2019 08:30;15.06.2019 08:45;12.738,75
15.06.2019 08:45;15.06.2019 09:00;12.984,50
15.06.2019 09:00;15.06.2019 09:15;13.156,75
15.06.2019 09:15;15.06.2019 09:30;13.411,00
15.06.2019 09:30;15.06.2019 09:45;13.574,25
15.06.2019 09:45;15.06.2019 10:00;13.830,00
15.06.2019 10:00;15.06.2019 10:15;13.988,25
15.06.2019 10:15;15.06.2019 10:30;14.176,00
15.06.2019 10:30;15.06.2019 10:45;14.238,00
15.06.2019 10:45;15.06.2019 11:00;14.282,50
15.06.2019 11:00;15.06.2019 11:15;14.122,25
15.06.2019 11:15;15.06.2019 11:30;14.136,00
15.06.2019 11:30;15.06.2019 11:45;14.183,25
15.06.2019 11:45;15.06.2019 12:00;14.139,50
15.06.2019 12:00;15.06.2019 12:15;13.953,25
15.06.2019 12:15;15.06.2019 12:30;13.852,50
15.06.2019 12:30;15.06.2019 12:45;13.857,75
15.06.2019 12:45;15.06.2019 13:00;13.712,00
15.06.2019 13:00;15.06.2019 13:15;13.512,75
15.06.2019 13:15;15.06.2019 13:30;13.367,00
15.06.2019 13:30;15.06.2019 13:45;13.203,75
15.06.2019 13:45;15.06.2019 14:00;13.113,25
15.06.2019 14:00;15.06.2019 14:15;13.037,75
15.06.2019 14:15;15.06.2019 14:30;12.886,00
15.06.2019 14:30;15.06.2019 14:45;12.832,75
15.06.2019 14:45;15.06.2019 15:00;12.740,50
15.06.2019 15:00;15.06.2019 15:15;12.785,00
15.06.2019 15:15;15.06.2019 15:30;12.707,50
15.06.2019 15:30;15.06.2019 15:45;12.827,00
15.06.2019 15:45;15.06.2019 16:00;12.887,50
15.06.2019 16:00;15.06.2019 16:15;12.934,25
15.06.2019 16:15;15.06.2019 16:30;12.926,25
15.06.2019 16:30;15.06.2019 16:45;12.857,00
15.06.2019 16:45;15.06.2019 17:00;12.924,75
15.06.2019 17:00;15.06.2019 17:15;13.076,50
15.06.2019 17:15;15.06.2019 17:30;13.036,50
15.06.2019 17:30;15.06.2019 17:45;12.997,00
15.06.2019 17:45;15.06.2019 18:00;12.912,25
15.06.2019 18:00;15.06.2019 18:15;12.908,00
15.06.2019 18:15;15.06.2019 18:30;12.875,00
15.06.2019 18:30;15.06.2019 18:45;12.801,25
15.06.2019 18:45;15.06.2019 19:00;12.781,50
15.06.2019 19:00;15.06.2019 19:15;12.907,50
15.06.2019 19:15;15.06.2019 19:30;12.768,25
15.06.2019 19:30;15.06.2019 19:45;12.660,75
15.06.2019 19:45;15.06.2019 20:00;12.514,00
