Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
14.07.2017 00:00;14.07.2017 00:15;11.991,25
14.07.2017 00:15;14.07.2017 00:30;11.836,75
14.07.2017 00:30;14.07.2017 00:45;11.688,25
14.07.2017 00:45;14.07.2017 01:00;11.568,50
14.07.2017 01:00;14.07.2017 01:15;11.491,50
14.07.2017 01:15;14.07.2017 01:30;11.416,50
14.07.2017 01:30;14.07.2017 01:45;11.289,25
14.07.2017 01:45;14.07.2017 02:00;11.183,25
14.07.2017 02:00;14.07.2017 02:15;11.087,75
14.07.2017 02:15;14.07.2017 02:30;10.993,50
14.07.2017 02:30;14.07.2017 02:45;11.023,75
14.07.2017 02:45;14.07.2017 03:00;11.049,25
14.07.2017 03:00;14.07.2017 03:15;11.069,00
14.07.2017 03:15;14.07.2017 03:30;11.031,25
14.07.2017 03:30;14.07.2017 03:45;11.054,00
14.07.2017 03:45;14.07.2017 04:00;11.097,50
14.07.2017 04:00;14.07.2017 04:15;11.192,75
14.07.2017 04:15;14.07.2017 04:30;11.273,75
14.07.2017 04:30;14.07.2017 04:45;11.450,00
14.07.2017 04:45;14.07.2017 05:00;11.500,25
14.07.2017 05:00;14.07.2017 05:15;11.752,50
14.07.2017 05:15;14.07.2017 05:30;11.921,75
14.07.2017 05:30;14.07.2017 05:45;12.183,50
14.07.2017 05:45;14.07.2017 06:00;12.494,25
14.07.2017 06:00;14.07.2017 06:15;13.048,25
14.07.2017 06:15;14.07.2017 06:30;13.579,00
14.07.2017 06:30;14.07.2017 06:45;14.014,25
14.07.2017 06:45;14.07.2017 07:00;14.450,00
14.07.2017 07:00;14.07.2017 07:15;14.834,50
14.07.2017 07:15;14.07.2017 07:30;15.192,25
14.07.2017 07:30;14.07.2017 07:45;15.469,00
14.07.2017 07:45;14.07.2017 08:00;15.741,25
14.07.2017 08:00;14.07.2017 08:15;15.986,25
14.07.2017 08:15;14.07.2017 08:30;16.162,75
14.07.2017 08:30;14.07.2017 08:45;16.257,00
14.07.2017 08:45;14.07.2017 09:00;16.312,50
14.07.2017 09:00;14.07.2017 09:15;16.261,25
14.07.2017 09:15;14.07.2017 09:30;16.377,00
14.07.2017 09:30;14.07.2017 09:45;16.486,50
14.07.2017 09:45;14.07.2017 10:00;16.581,00
14.07.2017 10:00;14.07.2017 10:15;16.654,50
14.07.2017 10:15;14.07.2017 10:30;16.717,25
14.07.2017 10:30;14.07.2017 10:45;16.817,25
14.07.2017 10:45;14.07.2017 11:00;16.930,50
14.07.2017 11:00;14.07.2017 11:15;16.980,50
14.07.2017 11:15;14.07.2017 11:30;17.010,00
14.07.2017 11:30;14.07.2017 11:45;17.063,50
14.07.2017 11:45;14.07.2017 12:00;17.044,50
14.07.2017 12:00;14.07.2017 12:15;17.047,25
14.07.2017 12:15;14.07.2017 12:30;17.055,25
14.07.2017 12:30;14.07.2017 12:45;17.066,25
14.07.2017 12:45;14.07.2017 13:00;16.966,50
14.07.2017 13:00;14.07.2017 13:15;16.897,50
14.07.2017 13:15;14.07.2017 13:30;16.753,75
14.07.2017 13:30;14.07.2017 13:45;16.517,75
14.07.2017 13:45;14.07.2017 14:00;16.342,25
14.07.2017 14:00;14.07.2017 14:15;16.319,50
14.07.2017 14:15;14.07.2017 14:30;16.271,00
14.07.2017 14:30;14.07.2017 14:45;16.143,00
14.07.2017 14:45;14.07.2017 15:00;16.027,25
14.07.2017 15:00;14.07.2017 15:15;16.002,50
14.07.2017 15:15;14.07.2017 15:30;15.891,50
14.07.2017 15:30;14.07.2017 15:45;15.741,75
14.07.2017 15:45;14.07.2017 16:00;15.641,75
14.07.2017 16:00;14.07.2017 16:15;15.606,00
14.07.2017 16:15;14.07.2017 16:30;15.573,75
14.07.2017 16:30;14.07.2017 16:45;15.599,50
14.07.2017 16:45;14.07.2017 17:00;15.564,50
14.07.2017 17:00;14.07.2017 17:15;15.600,00
14.07.2017 17:15;14.07.2017 17:30;15.528,50
14.07.2017 17:30;14.07.2017 17:45;15.577,00
14.07.2017 17:45;14.07.2017 18:00;15.564,00
14.07.2017 18:00;14.07.2017 18:15;15.405,25
14.07.2017 18:15;14.07.2017 18:30;15.263,25
14.07.2017 18:30;14.07.2017 18:45;15.198,75
14.07.2017 18:45;14.07.2017 19:00;15.246,50
14.07.2017 19:00;14.07.2017 19:15;15.108,50
14.07.2017 19:15;14.07.2017 19:30;14.958,25
14.07.2017 19:30;14.07.2017 19:45;14.835,75
14.07.2017 19:45;14.07.2017 20:00;14.781,25
14.07.2017 20:00;14.07.2017 20:15;14.611,25
14.07.2017 20:15;14.07.2017 20:30;14.364,25
14.07.2017 20:30;14.07.2017 20:45;14.170,75
14.07.2017 20:45;14.07.2017 21:00;13.945,75
14.07.2017 21:00;14.07.2017 21:15;13.733,25
14.07.2017 21:15;14.07.2017 21:30;13.609,00
14.07.2017 21:30;14.07.2017 21:45;13.492,00
14.07.2017 21:45;14.07.2017 22:00;13.458,50
14.07.2017 22:00;14.07.2017 22:15;13.411,25
14.07.2017 22:15;14.07.2017 22:30;13.223,25
14.07.2017 22:30;14.07.2017 22:45;12.864,50
14.07.2017 22:45;14.07.2017 23:00;12.675,00
14.07.2017 23:00;14.07.2017 23:15;12.566,75
14.07.2017 23:15;14.07.2017 23:30;12.353,00
14.07.2017 23:30;14.07.2017 23:45;12.130,75
14.07.2017 23:45;15.07.2017 00:00;11.920,50
15.07.2017 00:00;15.07.2017 00:15;11.564,25
15.07.2017 00:15;15.07.2017 00:30;11.391,50
15.07.2017 00:30;15.07.2017 00:45;11.183,00
15.07.2017 00:45;15.07.2017 01:00;11.063,75
15.07.2017 01:00;15.07.2017 01:15;11.010,50
15.07.2017 01:15;15.07.2017 01:30;10.971,00
15.07.2017 01:30;15.07.2017 01:45;10.851,00
15.07.2017 01:45;15.07.2017 02:00;10.754,75
15.07.2017 02:00;15.07.2017 02:15;10.612,25
15.07.2017 02:15;15.07.2017 02:30;10.562,25
15.07.2017 02:30;15.07.2017 02:45;10.507,75
15.07.2017 02:45;15.07.2017 03:00;10.465,25
15.07.2017 03:00;15.07.2017 03:15;10.461,00
15.07.2017 03:15;15.07.2017 03:30;10.421,25
15.07.2017 03:30;15.07.2017 03:45;10.315,25
15.07.2017 03:45;15.07.2017 04:00;10.363,00
15.07.2017 04:00;15.07.2017 04:15;10.462,25
15.07.2017 04:15;15.07.2017 04:30;10.504,75
15.07.2017 04:30;15.07.2017 04:45;10.544,50
15.07.2017 04:45;15.07.2017 05:00;10.520,50
15.07.2017 05:00;15.07.2017 05:15;10.552,75
15.07.2017 05:15;15.07.2017 05:30;10.465,75
15.07.2017 05:30;15.07.2017 05:45;10.449,00
15.07.2017 05:45;15.07.2017 06:00;10.558,75
15.07.2017 06:00;15.07.2017 06:15;10.779,25
15.07.2017 06:15;15.07.2017 06:30;10.977,50
15.07.2017 06:30;15.07.2017 06:45;11.074,25
15.07.2017 06:45;15.07.2017 07:00;11.234,50
15.07.2017 07:00;15.07.2017 07:15;11.504,25
15.07.2017 07:15;15.07.2017 07:30;11.736,75
15.07.2017 07:30;15.07.2017 07:45;11.982,50
15.07.2017 07:45;15.07.2017 08:00;12.207,75
15.07.2017 08:00;15.07.2017 08:15;12.445,50
15.07.2017 08:15;15.07.2017 08:30;12.660,75
15.07.2017 08:30;15.07.2017 08:45;12.856,75
15.07.2017 08:45;15.07.2017 09:00;13.013,25
15.07.2017 09:00;15.07.2017 09:15;13.267,00
15.07.2017 09:15;15.07.2017 09:30;13.429,25
15.07.2017 09:30;15.07.2017 09:45;13.589,00
15.07.2017 09:45;15.07.2017 10:00;13.761,75
15.07.2017 10:00;15.07.2017 10:15;13.796,75
15.07.2017 10:15;15.07.2017 10:30;13.905,00
15.07.2017 10:30;15.07.2017 10:45;14.013,00
15.07.2017 10:45;15.07.2017 11:00;13.979,75
15.07.2017 11:00;15.07.2017 11:15;14.026,50
15.07.2017 11:15;15.07.2017 11:30;14.102,25
15.07.2017 11:30;15.07.2017 11:45;14.100,75
15.07.2017 11:45;15.07.2017 12:00;13.995,75
15.07.2017 12:00;15.07.2017 12:15;13.922,75
15.07.2017 12:15;15.07.2017 12:30;13.834,50
15.07.2017 12:30;15.07.2017 12:45;13.744,50
15.07.2017 12:45;15.07.2017 13:00;13.669,25
15.07.2017 13:00;15.07.2017 13:15;13.557,00
15.07.2017 13:15;15.07.2017 13:30;13.389,75
15.07.2017 13:30;15.07.2017 13:45;13.208,50
15.07.2017 13:45;15.07.2017 14:00;13.138,25
15.07.2017 14:00;15.07.2017 14:15;13.055,25
15.07.2017 14:15;15.07.2017 14:30;12.968,00
15.07.2017 14:30;15.07.2017 14:45;12.839,75
15.07.2017 14:45;15.07.2017 15:00;12.758,25
15.07.2017 15:00;15.07.2017 15:15;12.723,50
15.07.2017 15:15;15.07.2017 15:30;12.751,25
15.07.2017 15:30;15.07.2017 15:45;12.748,50
15.07.2017 15:45;15.07.2017 16:00;12.705,50
15.07.2017 16:00;15.07.2017 16:15;12.623,00
15.07.2017 16:15;15.07.2017 16:30;12.621,00
15.07.2017 16:30;15.07.2017 16:45;12.632,25
15.07.2017 16:45;15.07.2017 17:00;12.623,75
15.07.2017 17:00;15.07.2017 17:15;12.603,00
15.07.2017 17:15;15.07.2017 17:30;12.617,25
15.07.2017 17:30;15.07.2017 17:45;12.673,00
15.07.2017 17:45;15.07.2017 18:00;12.687,75
15.07.2017 18:00;15.07.2017 18:15;12.648,50
15.07.2017 18:15;15.07.2017 18:30;12.615,50
15.07.2017 18:30;15.07.2017 18:45;12.650,50
15.07.2017 18:45;15.07.2017 19:00;12.664,50
15.07.2017 19:00;15.07.2017 19:15;12.539,75
15.07.2017 19:15;15.07.2017 19:30;12.492,25
15.07.2017 19:30;15.07.2017 19:45;12.476,00
15.07.2017 19:45;15.07.2017 20:00;12.369,25
15.07.2017 20:00;15.07.2017 20:15;12.189,00
15.07.2017 20:15;15.07.2017 20:30;11.999,50
15.07.2017 20:30;15.07.2017 20:45;11.850,50
15.07.2017 20:45;15.07.2017 21:00;11.741,75
15.07.2017 21:00;15.07.2017 21:15;11.604,50
15.07.2017 21:15;15.07.2017 21:30;11.527,00
15.07.2017 21:30;15.07.2017 21:45;11.528,25
15.07.2017 21:45;15.07.2017 22:00;11.640,00
15.07.2017 22:00;15.07.2017 22:15;11.657,50
15.07.2017 22:15;15.07.2017 22:30;11.514,00
15.07.2017 22:30;15.07.2017 22:45;11.358,25
15.07.2017 22:45;15.07.2017 23:00;11.166,00
15.07.2017 23:00;15.07.2017 23:15;11.036,00
15.07.2017 23:15;15.07.2017 23:30;10.810,00
15.07.2017 23:30;15.07.2017 23:45;10.594,50
15.07.2017 23:45;16.07.2017 00:00;10.404,50
16.07.2017 00:00;16.07.2017 00:15;10.288,00
16.07.2017 00:15;16.07.2017 00:30;10.175,25
16.07.2017 00:30;16.07.2017 00:45;9.975,25
16.07.2017 00:45;16.07.2017 01:00;9.875,75
16.07.2017 01:00;16.07.2017 01:15;9.835,50
16.07.2017 01:15;16.07.2017 01:30;9.741,00
16.07.2017 01:30;16.07.2017 01:45;9.682,50
16.07.2017 01:45;16.07.2017 02:00;9.581,00
16.07.2017 02:00;16.07.2017 02:15;9.522,00
16.07.2017 02:15;16.07.2017 02:30;9.472,25
16.07.2017 02:30;16.07.2017 02:45;9.388,50
16.07.2017 02:45;16.07.2017 03:00;9.339,75
16.07.2017 03:00;16.07.2017 03:15;9.228,00
16.07.2017 03:15;16.07.2017 03:30;9.161,75
16.07.2017 03:30;16.07.2017 03:45;9.196,00
16.07.2017 03:45;16.07.2017 04:00;9.196,25
16.07.2017 04:00;16.07.2017 04:15;9.182,50
16.07.2017 04:15;16.07.2017 04:30;9.202,50
16.07.2017 04:30;16.07.2017 04:45;9.229,50
16.07.2017 04:45;16.07.2017 05:00;9.183,25
16.07.2017 05:00;16.07.2017 05:15;9.150,25
16.07.2017 05:15;16.07.2017 05:30;9.133,50
16.07.2017 05:30;16.07.2017 05:45;9.034,50
16.07.2017 05:45;16.07.2017 06:00;8.975,25
16.07.2017 06:00;16.07.2017 06:15;9.039,50
16.07.2017 06:15;16.07.2017 06:30;9.152,50
16.07.2017 06:30;16.07.2017 06:45;9.329,75
16.07.2017 06:45;16.07.2017 07:00;9.409,00
16.07.2017 07:00;16.07.2017 07:15;9.551,50
16.07.2017 07:15;16.07.2017 07:30;9.726,50
16.07.2017 07:30;16.07.2017 07:45;9.971,75
16.07.2017 07:45;16.07.2017 08:00;10.174,75
16.07.2017 08:00;16.07.2017 08:15;10.344,25
16.07.2017 08:15;16.07.2017 08:30;10.655,50
16.07.2017 08:30;16.07.2017 08:45;10.914,00
16.07.2017 08:45;16.07.2017 09:00;11.079,50
16.07.2017 09:00;16.07.2017 09:15;11.361,25
16.07.2017 09:15;16.07.2017 09:30;11.510,50
16.07.2017 09:30;16.07.2017 09:45;11.636,50
16.07.2017 09:45;16.07.2017 10:00;11.787,25
16.07.2017 10:00;16.07.2017 10:15;11.912,00
16.07.2017 10:15;16.07.2017 10:30;12.105,50
16.07.2017 10:30;16.07.2017 10:45;12.228,50
16.07.2017 10:45;16.07.2017 11:00;12.359,00
16.07.2017 11:00;16.07.2017 11:15;12.497,75
16.07.2017 11:15;16.07.2017 11:30;12.775,75
16.07.2017 11:30;16.07.2017 11:45;12.920,75
16.07.2017 11:45;16.07.2017 12:00;12.973,25
16.07.2017 12:00;16.07.2017 12:15;12.918,25
16.07.2017 12:15;16.07.2017 12:30;12.832,00
16.07.2017 12:30;16.07.2017 12:45;12.693,00
16.07.2017 12:45;16.07.2017 13:00;12.541,25
16.07.2017 13:00;16.07.2017 13:15;12.308,50
16.07.2017 13:15;16.07.2017 13:30;12.177,75
16.07.2017 13:30;16.07.2017 13:45;12.089,75
16.07.2017 13:45;16.07.2017 14:00;11.984,25
16.07.2017 14:00;16.07.2017 14:15;11.918,50
16.07.2017 14:15;16.07.2017 14:30;11.895,50
16.07.2017 14:30;16.07.2017 14:45;11.789,25
16.07.2017 14:45;16.07.2017 15:00;11.694,00
16.07.2017 15:00;16.07.2017 15:15;11.662,50
16.07.2017 15:15;16.07.2017 15:30;11.650,75
16.07.2017 15:30;16.07.2017 15:45;11.654,25
16.07.2017 15:45;16.07.2017 16:00;11.567,25
16.07.2017 16:00;16.07.2017 16:15;11.687,00
16.07.2017 16:15;16.07.2017 16:30;11.631,50
16.07.2017 16:30;16.07.2017 16:45;11.659,00
16.07.2017 16:45;16.07.2017 17:00;11.624,25
16.07.2017 17:00;16.07.2017 17:15;11.837,75
16.07.2017 17:15;16.07.2017 17:30;11.915,00
16.07.2017 17:30;16.07.2017 17:45;12.042,00
16.07.2017 17:45;16.07.2017 18:00;12.101,25
16.07.2017 18:00;16.07.2017 18:15;12.221,75
16.07.2017 18:15;16.07.2017 18:30;12.252,25
16.07.2017 18:30;16.07.2017 18:45;12.254,50
16.07.2017 18:45;16.07.2017 19:00;12.230,00
16.07.2017 19:00;16.07.2017 19:15;12.219,75
16.07.2017 19:15;16.07.2017 19:30;12.214,25
16.07.2017 19:30;16.07.2017 19:45;12.183,75
16.07.2017 19:45;16.07.2017 20:00;12.134,00
16.07.2017 20:00;16.07.2017 20:15;12.189,00
16.07.2017 20:15;16.07.2017 20:30;12.058,50
16.07.2017 20:30;16.07.2017 20:45;11.945,00
16.07.2017 20:45;16.07.2017 21:00;11.849,00
16.07.2017 21:00;16.07.2017 21:15;11.889,25
