Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
02.07.2018 00:00;02.07.2018 00:15;11.056,75
02.07.2018 00:15;02.07.2018 00:30;10.899,75
02.07.2018 00:30;02.07.2018 00:45;10.768,00
02.07.2018 00:45;02.07.2018 01:00;10.675,00
02.07.2018 01:00;02.07.2018 01:15;10.492,25
02.07.2018 01:15;02.07.2018 01:30;10.394,50
02.07.2018 01:30;02.07.2018 01:45;10.311,00
02.07.2018 01:45;02.07.2018 02:00;10.220,75
02.07.2018 02:00;02.07.2018 02:15;10.081,50
02.07.2018 02:15;02.07.2018 02:30;10.094,00
02.07.2018 02:30;02.07.2018 02:45;10.095,25
02.07.2018 02:45;02.07.2018 03:00;10.080,25
02.07.2018 03:00;02.07.2018 03:15;10.189,75
02.07.2018 03:15;02.07.2018 03:30;10.207,00
02.07.2018 03:30;02.07.2018 03:45;10.197,75
02.07.2018 03:45;02.07.2018 04:00;10.246,25
02.07.2018 04:00;02.07.2018 04:15;10.489,50
02.07.2018 04:15;02.07.2018 04:30;10.561,00
02.07.2018 04:30;02.07.2018 04:45;10.680,00
02.07.2018 04:45;02.07.2018 05:00;10.736,75
02.07.2018 05:00;02.07.2018 05:15;10.968,50
02.07.2018 05:15;02.07.2018 05:30;11.139,25
02.07.2018 05:30;02.07.2018 05:45;11.501,75
02.07.2018 05:45;02.07.2018 06:00;11.866,50
02.07.2018 06:00;02.07.2018 06:15;12.721,00
02.07.2018 06:15;02.07.2018 06:30;13.246,25
02.07.2018 06:30;02.07.2018 06:45;13.711,25
02.07.2018 06:45;02.07.2018 07:00;14.062,00
02.07.2018 07:00;02.07.2018 07:15;14.590,75
02.07.2018 07:15;02.07.2018 07:30;15.013,25
02.07.2018 07:30;02.07.2018 07:45;15.268,75
02.07.2018 07:45;02.07.2018 08:00;15.512,25
02.07.2018 08:00;02.07.2018 08:15;15.846,75
02.07.2018 08:15;02.07.2018 08:30;16.033,25
02.07.2018 08:30;02.07.2018 08:45;16.152,25
02.07.2018 08:45;02.07.2018 09:00;16.290,75
02.07.2018 09:00;02.07.2018 09:15;16.188,25
02.07.2018 09:15;02.07.2018 09:30;16.324,75
02.07.2018 09:30;02.07.2018 09:45;16.541,75
02.07.2018 09:45;02.07.2018 10:00;16.709,75
02.07.2018 10:00;02.07.2018 10:15;16.709,25
02.07.2018 10:15;02.07.2018 10:30;16.776,50
