Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
21.06.2024 00:00;21.06.2024 00:15;11.205,00
21.06.2024 00:15;21.06.2024 00:30;11.155,00
21.06.2024 00:30;21.06.2024 00:45;11.107,75
21.06.2024 00:45;21.06.2024 01:00;10.900,75
21.06.2024 01:00;21.06.2024 01:15;10.751,50
21.06.2024 01:15;21.06.2024 01:30;10.710,50
21.06.2024 01:30;21.06.2024 01:45;10.635,25
21.06.2024 01:45;21.06.2024 02:00;10.540,50
21.06.2024 02:00;21.06.2024 02:15;10.419,75
21.06.2024 02:15;21.06.2024 02:30;10.386,75
21.06.2024 02:30;21.06.2024 02:45;10.258,00
21.06.2024 02:45;21.06.2024 03:00;10.253,75
21.06.2024 03:00;21.06.2024 03:15;10.321,50
21.06.2024 03:15;21.06.2024 03:30;10.334,25
21.06.2024 03:30;21.06.2024 03:45;10.388,75
21.06.2024 03:45;21.06.2024 04:00;10.400,25
21.06.2024 04:00;21.06.2024 04:15;10.444,75
21.06.2024 04:15;21.06.2024 04:30;10.521,00
21.06.2024 04:30;21.06.2024 04:45;10.571,00
21.06.2024 04:45;21.06.2024 05:00;10.648,75
21.06.2024 05:00;21.06.2024 05:15;10.888,50
21.06.2024 05:15;21.06.2024 05:30;11.034,25
21.06.2024 05:30;21.06.2024 05:45;11.202,00
21.06.2024 05:45;21.06.2024 06:00;11.457,00
21.06.2024 06:00;21.06.2024 06:15;12.067,75
21.06.2024 06:15;21.06.2024 06:30;12.490,75
21.06.2024 06:30;21.06.2024 06:45;12.888,25
21.06.2024 06:45;21.06.2024 07:00;13.237,50
21.06.2024 07:00;21.06.2024 07:15;13.567,00
21.06.2024 07:15;21.06.2024 07:30;13.833,25
21.06.2024 07:30;21.06.2024 07:45;14.111,50
21.06.2024 07:45;21.06.2024 08:00;14.386,50
21.06.2024 08:00;21.06.2024 08:15;14.768,00
21.06.2024 08:15;21.06.2024 08:30;15.036,50
21.06.2024 08:30;21.06.2024 08:45;15.352,50
21.06.2024 08:45;21.06.2024 09:00;15.481,00
21.06.2024 09:00;21.06.2024 09:15;15.530,00
21.06.2024 09:15;21.06.2024 09:30;15.599,50
21.06.2024 09:30;21.06.2024 09:45;15.833,75
21.06.2024 09:45;21.06.2024 10:00;16.003,25
21.06.2024 10:00;21.06.2024 10:15;16.070,25
21.06.2024 10:15;21.06.2024 10:30;16.151,25
21.06.2024 10:30;21.06.2024 10:45;16.132,00
