Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
16.06.2015 00:00;16.06.2015 00:15;11.810,50
16.06.2015 00:15;16.06.2015 00:30;11.611,25
16.06.2015 00:30;16.06.2015 00:45;11.488,00
16.06.2015 00:45;16.06.2015 01:00;11.288,00
16.06.2015 01:00;16.06.2015 01:15;11.222,00
16.06.2015 01:15;16.06.2015 01:30;11.094,25
16.06.2015 01:30;16.06.2015 01:45;10.973,75
16.06.2015 01:45;16.06.2015 02:00;10.924,00
16.06.2015 02:00;16.06.2015 02:15;10.891,50
16.06.2015 02:15;16.06.2015 02:30;10.848,75
16.06.2015 02:30;16.06.2015 02:45;10.815,75
16.06.2015 02:45;16.06.2015 03:00;10.820,50
16.06.2015 03:00;16.06.2015 03:15;10.880,25
16.06.2015 03:15;16.06.2015 03:30;10.887,50
16.06.2015 03:30;16.06.2015 03:45;10.884,75
16.06.2015 03:45;16.06.2015 04:00;10.865,75
16.06.2015 04:00;16.06.2015 04:15;10.961,50
16.06.2015 04:15;16.06.2015 04:30;11.081,50
16.06.2015 04:30;16.06.2015 04:45;11.148,75
16.06.2015 04:45;16.06.2015 05:00;11.190,75
16.06.2015 05:00;16.06.2015 05:15;11.403,25
16.06.2015 05:15;16.06.2015 05:30;11.574,25
16.06.2015 05:30;16.06.2015 05:45;11.818,75
16.06.2015 05:45;16.06.2015 06:00;12.149,25
16.06.2015 06:00;16.06.2015 06:15;13.089,50
16.06.2015 06:15;16.06.2015 06:30;13.667,25
16.06.2015 06:30;16.06.2015 06:45;14.137,75
16.06.2015 06:45;16.06.2015 07:00;14.469,50
16.06.2015 07:00;16.06.2015 07:15;14.965,00
16.06.2015 07:15;16.06.2015 07:30;15.245,00
16.06.2015 07:30;16.06.2015 07:45;15.557,75
16.06.2015 07:45;16.06.2015 08:00;15.742,75
16.06.2015 08:00;16.06.2015 08:15;16.055,25
16.06.2015 08:15;16.06.2015 08:30;16.144,75
16.06.2015 08:30;16.06.2015 08:45;16.269,00
16.06.2015 08:45;16.06.2015 09:00;16.333,25
16.06.2015 09:00;16.06.2015 09:15;16.293,25
16.06.2015 09:15;16.06.2015 09:30;16.403,50
16.06.2015 09:30;16.06.2015 09:45;16.498,25
16.06.2015 09:45;16.06.2015 10:00;16.461,50
16.06.2015 10:00;16.06.2015 10:15;16.620,50
16.06.2015 10:15;16.06.2015 10:30;16.719,25
16.06.2015 10:30;16.06.2015 10:45;16.827,00
16.06.2015 10:45;16.06.2015 11:00;16.873,50
16.06.2015 11:00;16.06.2015 11:15;16.972,25
16.06.2015 11:15;16.06.2015 11:30;17.069,25
16.06.2015 11:30;16.06.2015 11:45;17.167,50
16.06.2015 11:45;16.06.2015 12:00;17.178,25
16.06.2015 12:00;16.06.2015 12:15;17.030,75
16.06.2015 12:15;16.06.2015 12:30;16.931,00
16.06.2015 12:30;16.06.2015 12:45;16.905,50
16.06.2015 12:45;16.06.2015 13:00;16.898,50
16.06.2015 13:00;16.06.2015 13:15;16.896,00
16.06.2015 13:15;16.06.2015 13:30;16.785,00
16.06.2015 13:30;16.06.2015 13:45;16.671,75
16.06.2015 13:45;16.06.2015 14:00;16.514,50
16.06.2015 14:00;16.06.2015 14:15;16.427,75
16.06.2015 14:15;16.06.2015 14:30;16.363,25
16.06.2015 14:30;16.06.2015 14:45;16.349,25
16.06.2015 14:45;16.06.2015 15:00;16.177,75
16.06.2015 15:00;16.06.2015 15:15;16.140,75
16.06.2015 15:15;16.06.2015 15:30;16.071,25
16.06.2015 15:30;16.06.2015 15:45;15.934,50
16.06.2015 15:45;16.06.2015 16:00;15.793,00
16.06.2015 16:00;16.06.2015 16:15;15.716,75
16.06.2015 16:15;16.06.2015 16:30;15.675,00
16.06.2015 16:30;16.06.2015 16:45;15.633,50
16.06.2015 16:45;16.06.2015 17:00;15.539,75
16.06.2015 17:00;16.06.2015 17:15;15.495,00
16.06.2015 17:15;16.06.2015 17:30;15.507,75
16.06.2015 17:30;16.06.2015 17:45;15.565,25
16.06.2015 17:45;16.06.2015 18:00;15.573,25
16.06.2015 18:00;16.06.2015 18:15;15.453,75
16.06.2015 18:15;16.06.2015 18:30;15.359,00
16.06.2015 18:30;16.06.2015 18:45;15.382,75
16.06.2015 18:45;16.06.2015 19:00;15.411,75
16.06.2015 19:00;16.06.2015 19:15;15.379,25
16.06.2015 19:15;16.06.2015 19:30;15.256,75
16.06.2015 19:30;16.06.2015 19:45;15.143,00
16.06.2015 19:45;16.06.2015 20:00;15.056,00
16.06.2015 20:00;16.06.2015 20:15;14.841,75
16.06.2015 20:15;16.06.2015 20:30;14.596,00
16.06.2015 20:30;16.06.2015 20:45;14.403,25
16.06.2015 20:45;16.06.2015 21:00;14.290,50
16.06.2015 21:00;16.06.2015 21:15;14.106,00
16.06.2015 21:15;16.06.2015 21:30;13.946,25
16.06.2015 21:30;16.06.2015 21:45;13.866,00
16.06.2015 21:45;16.06.2015 22:00;13.822,75
16.06.2015 22:00;16.06.2015 22:15;13.751,00
16.06.2015 22:15;16.06.2015 22:30;13.556,25
16.06.2015 22:30;16.06.2015 22:45;13.305,75
16.06.2015 22:45;16.06.2015 23:00;13.017,00
16.06.2015 23:00;16.06.2015 23:15;12.700,25
16.06.2015 23:15;16.06.2015 23:30;12.406,00
16.06.2015 23:30;16.06.2015 23:45;12.180,50
16.06.2015 23:45;17.06.2015 00:00;11.950,75
17.06.2015 00:00;17.06.2015 00:15;11.678,75
17.06.2015 00:15;17.06.2015 00:30;11.523,50
17.06.2015 00:30;17.06.2015 00:45;11.344,25
17.06.2015 00:45;17.06.2015 01:00;11.234,75
17.06.2015 01:00;17.06.2015 01:15;11.128,00
17.06.2015 01:15;17.06.2015 01:30;11.035,00
17.06.2015 01:30;17.06.2015 01:45;11.032,00
17.06.2015 01:45;17.06.2015 02:00;10.959,00
17.06.2015 02:00;17.06.2015 02:15;10.845,25
17.06.2015 02:15;17.06.2015 02:30;10.777,50
17.06.2015 02:30;17.06.2015 02:45;10.780,50
17.06.2015 02:45;17.06.2015 03:00;10.745,25
17.06.2015 03:00;17.06.2015 03:15;10.762,75
17.06.2015 03:15;17.06.2015 03:30;10.747,25
17.06.2015 03:30;17.06.2015 03:45;10.757,75
17.06.2015 03:45;17.06.2015 04:00;10.794,00
17.06.2015 04:00;17.06.2015 04:15;10.927,75
17.06.2015 04:15;17.06.2015 04:30;11.026,25
17.06.2015 04:30;17.06.2015 04:45;11.091,75
17.06.2015 04:45;17.06.2015 05:00;11.211,75
17.06.2015 05:00;17.06.2015 05:15;11.379,75
17.06.2015 05:15;17.06.2015 05:30;11.556,50
17.06.2015 05:30;17.06.2015 05:45;11.838,25
17.06.2015 05:45;17.06.2015 06:00;12.248,50
17.06.2015 06:00;17.06.2015 06:15;12.993,50
17.06.2015 06:15;17.06.2015 06:30;13.557,00
17.06.2015 06:30;17.06.2015 06:45;13.983,25
17.06.2015 06:45;17.06.2015 07:00;14.391,50
17.06.2015 07:00;17.06.2015 07:15;14.924,75
17.06.2015 07:15;17.06.2015 07:30;15.224,50
17.06.2015 07:30;17.06.2015 07:45;15.514,50
17.06.2015 07:45;17.06.2015 08:00;15.691,75
17.06.2015 08:00;17.06.2015 08:15;15.980,75
17.06.2015 08:15;17.06.2015 08:30;16.096,25
17.06.2015 08:30;17.06.2015 08:45;16.139,00
17.06.2015 08:45;17.06.2015 09:00;16.116,50
17.06.2015 09:00;17.06.2015 09:15;16.081,25
17.06.2015 09:15;17.06.2015 09:30;16.281,75
17.06.2015 09:30;17.06.2015 09:45;16.371,00
17.06.2015 09:45;17.06.2015 10:00;16.409,25
17.06.2015 10:00;17.06.2015 10:15;16.543,25
17.06.2015 10:15;17.06.2015 10:30;16.618,75
17.06.2015 10:30;17.06.2015 10:45;16.733,75
17.06.2015 10:45;17.06.2015 11:00;16.747,50
17.06.2015 11:00;17.06.2015 11:15;16.868,25
17.06.2015 11:15;17.06.2015 11:30;17.041,00
17.06.2015 11:30;17.06.2015 11:45;17.137,75
17.06.2015 11:45;17.06.2015 12:00;17.123,75
17.06.2015 12:00;17.06.2015 12:15;16.935,50
17.06.2015 12:15;17.06.2015 12:30;16.894,00
17.06.2015 12:30;17.06.2015 12:45;16.901,25
17.06.2015 12:45;17.06.2015 13:00;16.874,75
17.06.2015 13:00;17.06.2015 13:15;16.934,50
17.06.2015 13:15;17.06.2015 13:30;16.949,25
17.06.2015 13:30;17.06.2015 13:45;16.864,75
17.06.2015 13:45;17.06.2015 14:00;16.701,50
17.06.2015 14:00;17.06.2015 14:15;16.610,00
17.06.2015 14:15;17.06.2015 14:30;16.564,00
17.06.2015 14:30;17.06.2015 14:45;16.552,00
17.06.2015 14:45;17.06.2015 15:00;16.518,50
17.06.2015 15:00;17.06.2015 15:15;16.469,75
17.06.2015 15:15;17.06.2015 15:30;16.352,25
17.06.2015 15:30;17.06.2015 15:45;16.192,25
17.06.2015 15:45;17.06.2015 16:00;16.068,50
17.06.2015 16:00;17.06.2015 16:15;15.958,50
17.06.2015 16:15;17.06.2015 16:30;15.915,00
17.06.2015 16:30;17.06.2015 16:45;15.848,25
17.06.2015 16:45;17.06.2015 17:00;15.773,00
17.06.2015 17:00;17.06.2015 17:15;15.736,00
17.06.2015 17:15;17.06.2015 17:30;15.762,25
17.06.2015 17:30;17.06.2015 17:45;15.737,75
17.06.2015 17:45;17.06.2015 18:00;15.715,75
17.06.2015 18:00;17.06.2015 18:15;15.553,75
17.06.2015 18:15;17.06.2015 18:30;15.473,75
17.06.2015 18:30;17.06.2015 18:45;15.474,75
17.06.2015 18:45;17.06.2015 19:00;15.521,25
17.06.2015 19:00;17.06.2015 19:15;15.416,75
17.06.2015 19:15;17.06.2015 19:30;15.305,50
17.06.2015 19:30;17.06.2015 19:45;15.241,75
17.06.2015 19:45;17.06.2015 20:00;15.169,25
17.06.2015 20:00;17.06.2015 20:15;14.907,75
17.06.2015 20:15;17.06.2015 20:30;14.789,25
17.06.2015 20:30;17.06.2015 20:45;14.629,00
17.06.2015 20:45;17.06.2015 21:00;14.412,25
17.06.2015 21:00;17.06.2015 21:15;14.311,00
17.06.2015 21:15;17.06.2015 21:30;14.117,00
17.06.2015 21:30;17.06.2015 21:45;14.095,75
17.06.2015 21:45;17.06.2015 22:00;14.007,00
17.06.2015 22:00;17.06.2015 22:15;13.932,25
17.06.2015 22:15;17.06.2015 22:30;13.754,75
17.06.2015 22:30;17.06.2015 22:45;13.487,00
17.06.2015 22:45;17.06.2015 23:00;13.157,50
17.06.2015 23:00;17.06.2015 23:15;12.853,75
17.06.2015 23:15;17.06.2015 23:30;12.578,25
17.06.2015 23:30;17.06.2015 23:45;12.267,50
17.06.2015 23:45;18.06.2015 00:00;12.029,50
18.06.2015 00:00;18.06.2015 00:15;11.803,75
18.06.2015 00:15;18.06.2015 00:30;11.644,75
18.06.2015 00:30;18.06.2015 00:45;11.470,00
18.06.2015 00:45;18.06.2015 01:00;11.351,25
18.06.2015 01:00;18.06.2015 01:15;11.221,00
18.06.2015 01:15;18.06.2015 01:30;11.119,50
18.06.2015 01:30;18.06.2015 01:45;11.012,00
18.06.2015 01:45;18.06.2015 02:00;10.927,00
18.06.2015 02:00;18.06.2015 02:15;10.892,50
18.06.2015 02:15;18.06.2015 02:30;10.882,00
18.06.2015 02:30;18.06.2015 02:45;10.858,50
18.06.2015 02:45;18.06.2015 03:00;10.934,25
18.06.2015 03:00;18.06.2015 03:15;10.967,50
18.06.2015 03:15;18.06.2015 03:30;10.907,50
18.06.2015 03:30;18.06.2015 03:45;10.941,50
18.06.2015 03:45;18.06.2015 04:00;10.966,25
18.06.2015 04:00;18.06.2015 04:15;11.098,50
18.06.2015 04:15;18.06.2015 04:30;11.151,75
18.06.2015 04:30;18.06.2015 04:45;11.216,75
18.06.2015 04:45;18.06.2015 05:00;11.365,00
18.06.2015 05:00;18.06.2015 05:15;11.643,25
18.06.2015 05:15;18.06.2015 05:30;11.748,75
18.06.2015 05:30;18.06.2015 05:45;12.040,00
18.06.2015 05:45;18.06.2015 06:00;12.403,75
18.06.2015 06:00;18.06.2015 06:15;13.161,75
18.06.2015 06:15;18.06.2015 06:30;13.774,50
18.06.2015 06:30;18.06.2015 06:45;14.159,00
18.06.2015 06:45;18.06.2015 07:00;14.586,00
18.06.2015 07:00;18.06.2015 07:15;15.180,75
18.06.2015 07:15;18.06.2015 07:30;15.499,25
18.06.2015 07:30;18.06.2015 07:45;15.706,25
18.06.2015 07:45;18.06.2015 08:00;15.926,25
18.06.2015 08:00;18.06.2015 08:15;16.234,25
18.06.2015 08:15;18.06.2015 08:30;16.377,25
18.06.2015 08:30;18.06.2015 08:45;16.461,25
18.06.2015 08:45;18.06.2015 09:00;16.534,75
18.06.2015 09:00;18.06.2015 09:15;16.529,75
18.06.2015 09:15;18.06.2015 09:30;16.597,25
18.06.2015 09:30;18.06.2015 09:45;16.677,25
18.06.2015 09:45;18.06.2015 10:00;16.788,75
18.06.2015 10:00;18.06.2015 10:15;16.844,50
18.06.2015 10:15;18.06.2015 10:30;16.957,50
18.06.2015 10:30;18.06.2015 10:45;17.030,75
18.06.2015 10:45;18.06.2015 11:00;17.169,75
18.06.2015 11:00;18.06.2015 11:15;17.255,25
18.06.2015 11:15;18.06.2015 11:30;17.320,00
18.06.2015 11:30;18.06.2015 11:45;17.370,00
18.06.2015 11:45;18.06.2015 12:00;17.337,50
18.06.2015 12:00;18.06.2015 12:15;17.169,00
18.06.2015 12:15;18.06.2015 12:30;17.061,00
18.06.2015 12:30;18.06.2015 12:45;17.118,50
18.06.2015 12:45;18.06.2015 13:00;17.053,75
18.06.2015 13:00;18.06.2015 13:15;17.076,00
18.06.2015 13:15;18.06.2015 13:30;17.007,75
18.06.2015 13:30;18.06.2015 13:45;16.902,00
18.06.2015 13:45;18.06.2015 14:00;16.737,50
18.06.2015 14:00;18.06.2015 14:15;16.721,50
18.06.2015 14:15;18.06.2015 14:30;16.652,00
18.06.2015 14:30;18.06.2015 14:45;16.578,00
