Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
03.07.2024 00:00;03.07.2024 00:15;11.337,50
03.07.2024 00:15;03.07.2024 00:30;11.303,25
03.07.2024 00:30;03.07.2024 00:45;11.124,25
03.07.2024 00:45;03.07.2024 01:00;10.914,00
03.07.2024 01:00;03.07.2024 01:15;10.778,25
03.07.2024 01:15;03.07.2024 01:30;10.709,75
03.07.2024 01:30;03.07.2024 01:45;10.640,00
03.07.2024 01:45;03.07.2024 02:00;10.615,50
03.07.2024 02:00;03.07.2024 02:15;10.587,25
03.07.2024 02:15;03.07.2024 02:30;10.485,25
03.07.2024 02:30;03.07.2024 02:45;10.431,50
03.07.2024 02:45;03.07.2024 03:00;10.441,50
03.07.2024 03:00;03.07.2024 03:15;10.447,50
03.07.2024 03:15;03.07.2024 03:30;10.482,75
03.07.2024 03:30;03.07.2024 03:45;10.557,50
03.07.2024 03:45;03.07.2024 04:00;10.538,00
03.07.2024 04:00;03.07.2024 04:15;10.886,00
03.07.2024 04:15;03.07.2024 04:30;10.827,00
03.07.2024 04:30;03.07.2024 04:45;10.972,00
03.07.2024 04:45;03.07.2024 05:00;11.083,75
03.07.2024 05:00;03.07.2024 05:15;11.256,00
03.07.2024 05:15;03.07.2024 05:30;11.371,00
03.07.2024 05:30;03.07.2024 05:45;11.537,25
03.07.2024 05:45;03.07.2024 06:00;11.815,00
03.07.2024 06:00;03.07.2024 06:15;12.545,25
03.07.2024 06:15;03.07.2024 06:30;12.861,25
03.07.2024 06:30;03.07.2024 06:45;13.193,50
03.07.2024 06:45;03.07.2024 07:00;13.485,00
03.07.2024 07:00;03.07.2024 07:15;13.720,50
03.07.2024 07:15;03.07.2024 07:30;14.002,75
03.07.2024 07:30;03.07.2024 07:45;14.231,25
03.07.2024 07:45;03.07.2024 08:00;14.375,00
03.07.2024 08:00;03.07.2024 08:15;14.690,50
03.07.2024 08:15;03.07.2024 08:30;15.013,00
03.07.2024 08:30;03.07.2024 08:45;15.094,25
03.07.2024 08:45;03.07.2024 09:00;15.150,25
03.07.2024 09:00;03.07.2024 09:15;15.187,75
03.07.2024 09:15;03.07.2024 09:30;15.411,75
03.07.2024 09:30;03.07.2024 09:45;15.562,50
03.07.2024 09:45;03.07.2024 10:00;15.610,75
03.07.2024 10:00;03.07.2024 10:15;15.673,25
03.07.2024 10:15;03.07.2024 10:30;15.718,25
03.07.2024 10:30;03.07.2024 10:45;15.896,25
03.07.2024 10:45;03.07.2024 11:00;16.011,25
03.07.2024 11:00;03.07.2024 11:15;16.004,25
03.07.2024 11:15;03.07.2024 11:30;16.100,50
03.07.2024 11:30;03.07.2024 11:45;16.087,75
03.07.2024 11:45;03.07.2024 12:00;16.155,50
03.07.2024 12:00;03.07.2024 12:15;16.148,50
03.07.2024 12:15;03.07.2024 12:30;15.984,00
03.07.2024 12:30;03.07.2024 12:45;15.927,00
03.07.2024 12:45;03.07.2024 13:00;15.832,50
03.07.2024 13:00;03.07.2024 13:15;15.757,50
03.07.2024 13:15;03.07.2024 13:30;15.683,50
03.07.2024 13:30;03.07.2024 13:45;15.628,75
03.07.2024 13:45;03.07.2024 14:00;15.491,50
03.07.2024 14:00;03.07.2024 14:15;15.448,75
03.07.2024 14:15;03.07.2024 14:30;15.505,75
03.07.2024 14:30;03.07.2024 14:45;15.255,00
03.07.2024 14:45;03.07.2024 15:00;15.278,25
03.07.2024 15:00;03.07.2024 15:15;15.301,25
03.07.2024 15:15;03.07.2024 15:30;15.023,25
03.07.2024 15:30;03.07.2024 15:45;14.817,00
03.07.2024 15:45;03.07.2024 16:00;14.622,50
03.07.2024 16:00;03.07.2024 16:15;14.548,75
03.07.2024 16:15;03.07.2024 16:30;14.400,00
03.07.2024 16:30;03.07.2024 16:45;14.415,75
03.07.2024 16:45;03.07.2024 17:00;14.338,25
03.07.2024 17:00;03.07.2024 17:15;14.431,00
03.07.2024 17:15;03.07.2024 17:30;14.622,75
03.07.2024 17:30;03.07.2024 17:45;14.732,50
03.07.2024 17:45;03.07.2024 18:00;14.740,75
03.07.2024 18:00;03.07.2024 18:15;14.620,50
03.07.2024 18:15;03.07.2024 18:30;14.514,75
03.07.2024 18:30;03.07.2024 18:45;14.622,25
03.07.2024 18:45;03.07.2024 19:00;14.651,00
03.07.2024 19:00;03.07.2024 19:15;14.528,00
03.07.2024 19:15;03.07.2024 19:30;14.393,50
03.07.2024 19:30;03.07.2024 19:45;14.408,50
03.07.2024 19:45;03.07.2024 20:00;14.299,25
03.07.2024 20:00;03.07.2024 20:15;14.061,50
03.07.2024 20:15;03.07.2024 20:30;13.797,75
03.07.2024 20:30;03.07.2024 20:45;13.663,25
03.07.2024 20:45;03.07.2024 21:00;13.479,75
03.07.2024 21:00;03.07.2024 21:15;13.384,50
03.07.2024 21:15;03.07.2024 21:30;13.368,00
03.07.2024 21:30;03.07.2024 21:45;13.253,50
03.07.2024 21:45;03.07.2024 22:00;13.029,75
03.07.2024 22:00;03.07.2024 22:15;12.864,75
03.07.2024 22:15;03.07.2024 22:30;12.693,75
03.07.2024 22:30;03.07.2024 22:45;12.430,25
03.07.2024 22:45;03.07.2024 23:00;12.076,25
03.07.2024 23:00;03.07.2024 23:15;12.006,50
03.07.2024 23:15;03.07.2024 23:30;11.837,25
03.07.2024 23:30;03.07.2024 23:45;11.608,00
03.07.2024 23:45;04.07.2024 00:00;11.510,75
04.07.2024 00:00;04.07.2024 00:15;11.468,50
04.07.2024 00:15;04.07.2024 00:30;11.283,25
04.07.2024 00:30;04.07.2024 00:45;11.288,00
04.07.2024 00:45;04.07.2024 01:00;11.206,75
04.07.2024 01:00;04.07.2024 01:15;11.116,00
04.07.2024 01:15;04.07.2024 01:30;11.052,25
04.07.2024 01:30;04.07.2024 01:45;10.949,50
04.07.2024 01:45;04.07.2024 02:00;10.909,50
04.07.2024 02:00;04.07.2024 02:15;10.708,75
04.07.2024 02:15;04.07.2024 02:30;10.597,00
04.07.2024 02:30;04.07.2024 02:45;10.485,50
04.07.2024 02:45;04.07.2024 03:00;10.493,00
04.07.2024 03:00;04.07.2024 03:15;10.475,50
04.07.2024 03:15;04.07.2024 03:30;10.481,75
04.07.2024 03:30;04.07.2024 03:45;10.497,75
04.07.2024 03:45;04.07.2024 04:00;10.565,00
04.07.2024 04:00;04.07.2024 04:15;10.766,25
04.07.2024 04:15;04.07.2024 04:30;10.826,00
04.07.2024 04:30;04.07.2024 04:45;10.971,50
04.07.2024 04:45;04.07.2024 05:00;11.041,50
04.07.2024 05:00;04.07.2024 05:15;11.272,75
04.07.2024 05:15;04.07.2024 05:30;11.457,00
04.07.2024 05:30;04.07.2024 05:45;11.815,00
04.07.2024 05:45;04.07.2024 06:00;12.118,25
04.07.2024 06:00;04.07.2024 06:15;12.742,50
04.07.2024 06:15;04.07.2024 06:30;13.175,00
04.07.2024 06:30;04.07.2024 06:45;13.717,75
04.07.2024 06:45;04.07.2024 07:00;14.075,00
04.07.2024 07:00;04.07.2024 07:15;14.459,00
04.07.2024 07:15;04.07.2024 07:30;14.795,50
04.07.2024 07:30;04.07.2024 07:45;15.083,00
04.07.2024 07:45;04.07.2024 08:00;15.236,00
04.07.2024 08:00;04.07.2024 08:15;15.563,00
04.07.2024 08:15;04.07.2024 08:30;15.751,50
04.07.2024 08:30;04.07.2024 08:45;16.016,25
04.07.2024 08:45;04.07.2024 09:00;16.175,00
04.07.2024 09:00;04.07.2024 09:15;16.139,00
04.07.2024 09:15;04.07.2024 09:30;16.149,00
04.07.2024 09:30;04.07.2024 09:45;16.293,50
04.07.2024 09:45;04.07.2024 10:00;16.374,75
04.07.2024 10:00;04.07.2024 10:15;16.524,75
04.07.2024 10:15;04.07.2024 10:30;16.587,25
04.07.2024 10:30;04.07.2024 10:45;16.694,25
04.07.2024 10:45;04.07.2024 11:00;16.752,00
04.07.2024 11:00;04.07.2024 11:15;16.648,25
04.07.2024 11:15;04.07.2024 11:30;16.687,00
04.07.2024 11:30;04.07.2024 11:45;16.710,00
04.07.2024 11:45;04.07.2024 12:00;16.748,00
04.07.2024 12:00;04.07.2024 12:15;16.732,50
04.07.2024 12:15;04.07.2024 12:30;16.426,50
04.07.2024 12:30;04.07.2024 12:45;16.494,75
04.07.2024 12:45;04.07.2024 13:00;16.390,00
04.07.2024 13:00;04.07.2024 13:15;16.197,25
04.07.2024 13:15;04.07.2024 13:30;16.012,75
04.07.2024 13:30;04.07.2024 13:45;15.648,25
04.07.2024 13:45;04.07.2024 14:00;15.654,75
04.07.2024 14:00;04.07.2024 14:15;15.450,75
04.07.2024 14:15;04.07.2024 14:30;15.321,50
04.07.2024 14:30;04.07.2024 14:45;15.169,50
04.07.2024 14:45;04.07.2024 15:00;15.096,25
04.07.2024 15:00;04.07.2024 15:15;14.919,75
04.07.2024 15:15;04.07.2024 15:30;14.881,75
04.07.2024 15:30;04.07.2024 15:45;14.924,50
04.07.2024 15:45;04.07.2024 16:00;14.815,00
04.07.2024 16:00;04.07.2024 16:15;14.668,00
04.07.2024 16:15;04.07.2024 16:30;14.594,00
04.07.2024 16:30;04.07.2024 16:45;14.425,25
04.07.2024 16:45;04.07.2024 17:00;14.346,25
04.07.2024 17:00;04.07.2024 17:15;14.622,75
04.07.2024 17:15;04.07.2024 17:30;14.612,25
04.07.2024 17:30;04.07.2024 17:45;14.697,25
04.07.2024 17:45;04.07.2024 18:00;14.926,50
04.07.2024 18:00;04.07.2024 18:15;14.779,25
04.07.2024 18:15;04.07.2024 18:30;14.845,25
04.07.2024 18:30;04.07.2024 18:45;14.823,50
04.07.2024 18:45;04.07.2024 19:00;14.831,75
04.07.2024 19:00;04.07.2024 19:15;14.780,50
04.07.2024 19:15;04.07.2024 19:30;14.683,25
04.07.2024 19:30;04.07.2024 19:45;14.440,00
04.07.2024 19:45;04.07.2024 20:00;14.533,75
04.07.2024 20:00;04.07.2024 20:15;14.305,25
04.07.2024 20:15;04.07.2024 20:30;13.963,25
04.07.2024 20:30;04.07.2024 20:45;13.921,50
04.07.2024 20:45;04.07.2024 21:00;13.797,50
04.07.2024 21:00;04.07.2024 21:15;13.498,75
04.07.2024 21:15;04.07.2024 21:30;13.332,00
04.07.2024 21:30;04.07.2024 21:45;13.234,25
04.07.2024 21:45;04.07.2024 22:00;13.097,25
