Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
14.06.2017 00:00;14.06.2017 00:15;12.187,50
14.06.2017 00:15;14.06.2017 00:30;11.988,25
14.06.2017 00:30;14.06.2017 00:45;11.800,50
14.06.2017 00:45;14.06.2017 01:00;11.688,50
14.06.2017 01:00;14.06.2017 01:15;11.576,75
14.06.2017 01:15;14.06.2017 01:30;11.433,25
14.06.2017 01:30;14.06.2017 01:45;11.322,00
14.06.2017 01:45;14.06.2017 02:00;11.265,00
14.06.2017 02:00;14.06.2017 02:15;11.189,00
14.06.2017 02:15;14.06.2017 02:30;11.182,75
14.06.2017 02:30;14.06.2017 02:45;11.126,75
14.06.2017 02:45;14.06.2017 03:00;11.155,75
14.06.2017 03:00;14.06.2017 03:15;11.155,50
14.06.2017 03:15;14.06.2017 03:30;11.132,50
14.06.2017 03:30;14.06.2017 03:45;11.065,25
14.06.2017 03:45;14.06.2017 04:00;11.128,50
14.06.2017 04:00;14.06.2017 04:15;11.252,75
14.06.2017 04:15;14.06.2017 04:30;11.245,50
14.06.2017 04:30;14.06.2017 04:45;11.378,50
14.06.2017 04:45;14.06.2017 05:00;11.384,00
14.06.2017 05:00;14.06.2017 05:15;11.538,50
14.06.2017 05:15;14.06.2017 05:30;11.780,50
14.06.2017 05:30;14.06.2017 05:45;11.973,25
14.06.2017 05:45;14.06.2017 06:00;12.236,00
14.06.2017 06:00;14.06.2017 06:15;13.051,50
14.06.2017 06:15;14.06.2017 06:30;13.554,25
14.06.2017 06:30;14.06.2017 06:45;13.961,75
14.06.2017 06:45;14.06.2017 07:00;14.330,50
14.06.2017 07:00;14.06.2017 07:15;14.755,00
14.06.2017 07:15;14.06.2017 07:30;15.046,75
14.06.2017 07:30;14.06.2017 07:45;15.296,00
14.06.2017 07:45;14.06.2017 08:00;15.554,75
14.06.2017 08:00;14.06.2017 08:15;15.840,50
14.06.2017 08:15;14.06.2017 08:30;15.960,25
14.06.2017 08:30;14.06.2017 08:45;15.955,00
14.06.2017 08:45;14.06.2017 09:00;16.101,50
14.06.2017 09:00;14.06.2017 09:15;16.113,75
14.06.2017 09:15;14.06.2017 09:30;16.183,50
14.06.2017 09:30;14.06.2017 09:45;16.294,25
14.06.2017 09:45;14.06.2017 10:00;16.256,00
14.06.2017 10:00;14.06.2017 10:15;16.333,25
14.06.2017 10:15;14.06.2017 10:30;16.398,75
14.06.2017 10:30;14.06.2017 10:45;16.515,75
14.06.2017 10:45;14.06.2017 11:00;16.657,50
14.06.2017 11:00;14.06.2017 11:15;16.721,25
14.06.2017 11:15;14.06.2017 11:30;16.770,00
14.06.2017 11:30;14.06.2017 11:45;16.808,75
14.06.2017 11:45;14.06.2017 12:00;16.846,25
14.06.2017 12:00;14.06.2017 12:15;16.733,75
14.06.2017 12:15;14.06.2017 12:30;16.686,50
14.06.2017 12:30;14.06.2017 12:45;16.643,00
14.06.2017 12:45;14.06.2017 13:00;16.583,75
14.06.2017 13:00;14.06.2017 13:15;16.576,50
14.06.2017 13:15;14.06.2017 13:30;16.540,00
14.06.2017 13:30;14.06.2017 13:45;16.496,75
14.06.2017 13:45;14.06.2017 14:00;16.323,75
14.06.2017 14:00;14.06.2017 14:15;16.227,75
14.06.2017 14:15;14.06.2017 14:30;16.236,00
14.06.2017 14:30;14.06.2017 14:45;16.200,25
14.06.2017 14:45;14.06.2017 15:00;16.150,25
14.06.2017 15:00;14.06.2017 15:15;16.063,00
14.06.2017 15:15;14.06.2017 15:30;16.002,25
14.06.2017 15:30;14.06.2017 15:45;15.916,50
14.06.2017 15:45;14.06.2017 16:00;15.782,50
14.06.2017 16:00;14.06.2017 16:15;15.664,75
14.06.2017 16:15;14.06.2017 16:30;15.623,50
14.06.2017 16:30;14.06.2017 16:45;15.591,75
14.06.2017 16:45;14.06.2017 17:00;15.492,00
14.06.2017 17:00;14.06.2017 17:15;15.543,50
14.06.2017 17:15;14.06.2017 17:30;15.476,00
14.06.2017 17:30;14.06.2017 17:45;15.471,50
14.06.2017 17:45;14.06.2017 18:00;15.519,50
14.06.2017 18:00;14.06.2017 18:15;15.373,50
14.06.2017 18:15;14.06.2017 18:30;15.363,50
14.06.2017 18:30;14.06.2017 18:45;15.281,25
14.06.2017 18:45;14.06.2017 19:00;15.252,75
14.06.2017 19:00;14.06.2017 19:15;15.219,00
14.06.2017 19:15;14.06.2017 19:30;15.136,25
14.06.2017 19:30;14.06.2017 19:45;14.977,75
14.06.2017 19:45;14.06.2017 20:00;14.875,75
14.06.2017 20:00;14.06.2017 20:15;14.759,50
14.06.2017 20:15;14.06.2017 20:30;14.549,25
14.06.2017 20:30;14.06.2017 20:45;14.333,50
14.06.2017 20:45;14.06.2017 21:00;14.128,25
14.06.2017 21:00;14.06.2017 21:15;13.948,00
14.06.2017 21:15;14.06.2017 21:30;13.851,75
14.06.2017 21:30;14.06.2017 21:45;13.677,00
14.06.2017 21:45;14.06.2017 22:00;13.510,25
14.06.2017 22:00;14.06.2017 22:15;13.550,75
14.06.2017 22:15;14.06.2017 22:30;13.440,00
14.06.2017 22:30;14.06.2017 22:45;13.236,75
14.06.2017 22:45;14.06.2017 23:00;13.019,00
14.06.2017 23:00;14.06.2017 23:15;12.735,50
14.06.2017 23:15;14.06.2017 23:30;12.476,50
14.06.2017 23:30;14.06.2017 23:45;12.241,00
14.06.2017 23:45;15.06.2017 00:00;12.048,75
15.06.2017 00:00;15.06.2017 00:15;11.876,25
15.06.2017 00:15;15.06.2017 00:30;11.732,25
15.06.2017 00:30;15.06.2017 00:45;11.586,75
15.06.2017 00:45;15.06.2017 01:00;11.421,75
15.06.2017 01:00;15.06.2017 01:15;11.327,50
15.06.2017 01:15;15.06.2017 01:30;11.230,25
15.06.2017 01:30;15.06.2017 01:45;11.112,25
15.06.2017 01:45;15.06.2017 02:00;11.053,25
15.06.2017 02:00;15.06.2017 02:15;10.962,75
15.06.2017 02:15;15.06.2017 02:30;10.874,50
15.06.2017 02:30;15.06.2017 02:45;10.870,25
15.06.2017 02:45;15.06.2017 03:00;10.812,00
15.06.2017 03:00;15.06.2017 03:15;10.855,50
15.06.2017 03:15;15.06.2017 03:30;10.795,50
15.06.2017 03:30;15.06.2017 03:45;10.804,00
15.06.2017 03:45;15.06.2017 04:00;10.790,00
15.06.2017 04:00;15.06.2017 04:15;10.778,50
15.06.2017 04:15;15.06.2017 04:30;10.755,50
15.06.2017 04:30;15.06.2017 04:45;10.745,50
15.06.2017 04:45;15.06.2017 05:00;10.679,50
15.06.2017 05:00;15.06.2017 05:15;10.651,50
15.06.2017 05:15;15.06.2017 05:30;10.643,00
15.06.2017 05:30;15.06.2017 05:45;10.712,00
15.06.2017 05:45;15.06.2017 06:00;10.691,25
15.06.2017 06:00;15.06.2017 06:15;10.965,00
15.06.2017 06:15;15.06.2017 06:30;11.164,75
15.06.2017 06:30;15.06.2017 06:45;11.416,75
15.06.2017 06:45;15.06.2017 07:00;11.645,00
15.06.2017 07:00;15.06.2017 07:15;11.900,00
15.06.2017 07:15;15.06.2017 07:30;12.165,75
15.06.2017 07:30;15.06.2017 07:45;12.394,00
15.06.2017 07:45;15.06.2017 08:00;12.612,50
15.06.2017 08:00;15.06.2017 08:15;12.852,00
15.06.2017 08:15;15.06.2017 08:30;13.012,25
15.06.2017 08:30;15.06.2017 08:45;13.211,00
15.06.2017 08:45;15.06.2017 09:00;13.313,00
15.06.2017 09:00;15.06.2017 09:15;13.402,75
15.06.2017 09:15;15.06.2017 09:30;13.497,00
15.06.2017 09:30;15.06.2017 09:45;13.611,50
15.06.2017 09:45;15.06.2017 10:00;13.665,50
15.06.2017 10:00;15.06.2017 10:15;13.832,25
15.06.2017 10:15;15.06.2017 10:30;13.912,25
15.06.2017 10:30;15.06.2017 10:45;14.051,00
15.06.2017 10:45;15.06.2017 11:00;14.106,50
15.06.2017 11:00;15.06.2017 11:15;14.225,75
15.06.2017 11:15;15.06.2017 11:30;14.315,50
15.06.2017 11:30;15.06.2017 11:45;14.382,25
15.06.2017 11:45;15.06.2017 12:00;14.442,00
15.06.2017 12:00;15.06.2017 12:15;14.403,25
15.06.2017 12:15;15.06.2017 12:30;14.308,50
15.06.2017 12:30;15.06.2017 12:45;14.289,00
15.06.2017 12:45;15.06.2017 13:00;14.166,00
15.06.2017 13:00;15.06.2017 13:15;14.101,25
15.06.2017 13:15;15.06.2017 13:30;13.995,50
15.06.2017 13:30;15.06.2017 13:45;14.028,25
15.06.2017 13:45;15.06.2017 14:00;13.748,00
15.06.2017 14:00;15.06.2017 14:15;13.726,25
15.06.2017 14:15;15.06.2017 14:30;13.725,00
15.06.2017 14:30;15.06.2017 14:45;13.722,00
15.06.2017 14:45;15.06.2017 15:00;13.647,25
15.06.2017 15:00;15.06.2017 15:15;13.660,75
15.06.2017 15:15;15.06.2017 15:30;13.596,75
15.06.2017 15:30;15.06.2017 15:45;13.576,25
15.06.2017 15:45;15.06.2017 16:00;13.527,50
15.06.2017 16:00;15.06.2017 16:15;13.556,50
15.06.2017 16:15;15.06.2017 16:30;13.499,00
15.06.2017 16:30;15.06.2017 16:45;13.507,75
15.06.2017 16:45;15.06.2017 17:00;13.454,75
15.06.2017 17:00;15.06.2017 17:15;13.666,75
15.06.2017 17:15;15.06.2017 17:30;13.632,25
15.06.2017 17:30;15.06.2017 17:45;13.575,50
15.06.2017 17:45;15.06.2017 18:00;13.623,25
15.06.2017 18:00;15.06.2017 18:15;13.587,75
15.06.2017 18:15;15.06.2017 18:30;13.468,50
15.06.2017 18:30;15.06.2017 18:45;13.534,75
15.06.2017 18:45;15.06.2017 19:00;13.598,50
15.06.2017 19:00;15.06.2017 19:15;13.622,75
15.06.2017 19:15;15.06.2017 19:30;13.553,75
15.06.2017 19:30;15.06.2017 19:45;13.587,75
15.06.2017 19:45;15.06.2017 20:00;13.636,25
15.06.2017 20:00;15.06.2017 20:15;13.524,00
15.06.2017 20:15;15.06.2017 20:30;13.401,50
15.06.2017 20:30;15.06.2017 20:45;13.278,00
15.06.2017 20:45;15.06.2017 21:00;13.129,00
15.06.2017 21:00;15.06.2017 21:15;13.037,00
15.06.2017 21:15;15.06.2017 21:30;12.932,50
15.06.2017 21:30;15.06.2017 21:45;12.905,00
15.06.2017 21:45;15.06.2017 22:00;12.776,25
15.06.2017 22:00;15.06.2017 22:15;12.841,50
15.06.2017 22:15;15.06.2017 22:30;12.687,75
15.06.2017 22:30;15.06.2017 22:45;12.476,75
15.06.2017 22:45;15.06.2017 23:00;12.195,25
15.06.2017 23:00;15.06.2017 23:15;12.052,75
15.06.2017 23:15;15.06.2017 23:30;11.834,75
15.06.2017 23:30;15.06.2017 23:45;11.626,25
15.06.2017 23:45;16.06.2017 00:00;11.448,50
16.06.2017 00:00;16.06.2017 00:15;11.359,50
16.06.2017 00:15;16.06.2017 00:30;11.116,50
16.06.2017 00:30;16.06.2017 00:45;10.966,00
16.06.2017 00:45;16.06.2017 01:00;10.934,25
16.06.2017 01:00;16.06.2017 01:15;10.747,75
16.06.2017 01:15;16.06.2017 01:30;10.692,75
16.06.2017 01:30;16.06.2017 01:45;10.618,25
16.06.2017 01:45;16.06.2017 02:00;10.496,25
16.06.2017 02:00;16.06.2017 02:15;10.443,25
16.06.2017 02:15;16.06.2017 02:30;10.415,75
16.06.2017 02:30;16.06.2017 02:45;10.364,25
16.06.2017 02:45;16.06.2017 03:00;10.293,75
16.06.2017 03:00;16.06.2017 03:15;10.298,25
16.06.2017 03:15;16.06.2017 03:30;10.318,00
16.06.2017 03:30;16.06.2017 03:45;10.335,25
16.06.2017 03:45;16.06.2017 04:00;10.347,75
16.06.2017 04:00;16.06.2017 04:15;10.571,75
16.06.2017 04:15;16.06.2017 04:30;10.659,25
16.06.2017 04:30;16.06.2017 04:45;10.734,50
16.06.2017 04:45;16.06.2017 05:00;10.822,25
16.06.2017 05:00;16.06.2017 05:15;11.018,75
16.06.2017 05:15;16.06.2017 05:30;11.079,75
16.06.2017 05:30;16.06.2017 05:45;11.357,25
16.06.2017 05:45;16.06.2017 06:00;11.630,50
16.06.2017 06:00;16.06.2017 06:15;12.366,50
16.06.2017 06:15;16.06.2017 06:30;12.862,00
