Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
16.06.2016 00:00;16.06.2016 00:15;11.969,25
16.06.2016 00:15;16.06.2016 00:30;11.789,50
16.06.2016 00:30;16.06.2016 00:45;11.644,25
16.06.2016 00:45;16.06.2016 01:00;11.507,25
16.06.2016 01:00;16.06.2016 01:15;11.388,50
16.06.2016 01:15;16.06.2016 01:30;11.294,25
16.06.2016 01:30;16.06.2016 01:45;11.212,75
16.06.2016 01:45;16.06.2016 02:00;11.133,50
16.06.2016 02:00;16.06.2016 02:15;11.087,25
16.06.2016 02:15;16.06.2016 02:30;10.994,50
16.06.2016 02:30;16.06.2016 02:45;11.062,25
16.06.2016 02:45;16.06.2016 03:00;11.021,75
16.06.2016 03:00;16.06.2016 03:15;11.089,00
16.06.2016 03:15;16.06.2016 03:30;11.038,75
16.06.2016 03:30;16.06.2016 03:45;10.979,00
16.06.2016 03:45;16.06.2016 04:00;11.020,50
16.06.2016 04:00;16.06.2016 04:15;11.172,00
16.06.2016 04:15;16.06.2016 04:30;11.224,25
16.06.2016 04:30;16.06.2016 04:45;11.292,75
16.06.2016 04:45;16.06.2016 05:00;11.344,50
16.06.2016 05:00;16.06.2016 05:15;11.602,25
16.06.2016 05:15;16.06.2016 05:30;11.774,50
16.06.2016 05:30;16.06.2016 05:45;12.030,00
16.06.2016 05:45;16.06.2016 06:00;12.431,25
16.06.2016 06:00;16.06.2016 06:15;13.190,25
16.06.2016 06:15;16.06.2016 06:30;13.686,25
16.06.2016 06:30;16.06.2016 06:45;14.144,50
16.06.2016 06:45;16.06.2016 07:00;14.518,00
16.06.2016 07:00;16.06.2016 07:15;14.992,25
16.06.2016 07:15;16.06.2016 07:30;15.347,00
16.06.2016 07:30;16.06.2016 07:45;15.623,75
16.06.2016 07:45;16.06.2016 08:00;15.840,00
16.06.2016 08:00;16.06.2016 08:15;16.044,75
16.06.2016 08:15;16.06.2016 08:30;16.149,75
16.06.2016 08:30;16.06.2016 08:45;16.326,50
16.06.2016 08:45;16.06.2016 09:00;16.413,75
16.06.2016 09:00;16.06.2016 09:15;16.321,00
16.06.2016 09:15;16.06.2016 09:30;16.443,75
16.06.2016 09:30;16.06.2016 09:45;16.553,75
16.06.2016 09:45;16.06.2016 10:00;16.621,00
16.06.2016 10:00;16.06.2016 10:15;16.697,25
16.06.2016 10:15;16.06.2016 10:30;16.781,75
16.06.2016 10:30;16.06.2016 10:45;16.893,50
16.06.2016 10:45;16.06.2016 11:00;17.065,50
16.06.2016 11:00;16.06.2016 11:15;17.078,00
16.06.2016 11:15;16.06.2016 11:30;17.168,75
16.06.2016 11:30;16.06.2016 11:45;17.333,00
16.06.2016 11:45;16.06.2016 12:00;17.362,25
16.06.2016 12:00;16.06.2016 12:15;17.228,50
16.06.2016 12:15;16.06.2016 12:30;17.115,75
16.06.2016 12:30;16.06.2016 12:45;17.224,25
16.06.2016 12:45;16.06.2016 13:00;17.204,75
16.06.2016 13:00;16.06.2016 13:15;17.139,00
16.06.2016 13:15;16.06.2016 13:30;17.003,00
16.06.2016 13:30;16.06.2016 13:45;16.904,00
16.06.2016 13:45;16.06.2016 14:00;16.781,50
16.06.2016 14:00;16.06.2016 14:15;16.733,50
16.06.2016 14:15;16.06.2016 14:30;16.693,50
16.06.2016 14:30;16.06.2016 14:45;16.610,75
16.06.2016 14:45;16.06.2016 15:00;16.600,25
16.06.2016 15:00;16.06.2016 15:15;16.539,00
16.06.2016 15:15;16.06.2016 15:30;16.446,50
16.06.2016 15:30;16.06.2016 15:45;16.333,00
16.06.2016 15:45;16.06.2016 16:00;16.193,75
16.06.2016 16:00;16.06.2016 16:15;16.155,50
16.06.2016 16:15;16.06.2016 16:30;15.972,50
16.06.2016 16:30;16.06.2016 16:45;15.837,75
16.06.2016 16:45;16.06.2016 17:00;15.802,50
16.06.2016 17:00;16.06.2016 17:15;15.910,50
16.06.2016 17:15;16.06.2016 17:30;15.913,75
16.06.2016 17:30;16.06.2016 17:45;15.960,00
16.06.2016 17:45;16.06.2016 18:00;15.924,25
16.06.2016 18:00;16.06.2016 18:15;15.842,00
16.06.2016 18:15;16.06.2016 18:30;15.835,75
16.06.2016 18:30;16.06.2016 18:45;15.838,25
16.06.2016 18:45;16.06.2016 19:00;15.878,50
16.06.2016 19:00;16.06.2016 19:15;15.792,25
16.06.2016 19:15;16.06.2016 19:30;15.718,00
