Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
15.06.2024 00:00;15.06.2024 00:15;10.297,25
15.06.2024 00:15;15.06.2024 00:30;10.313,75
15.06.2024 00:30;15.06.2024 00:45;10.263,75
15.06.2024 00:45;15.06.2024 01:00;10.161,25
15.06.2024 01:00;15.06.2024 01:15;9.988,75
15.06.2024 01:15;15.06.2024 01:30;10.001,50
15.06.2024 01:30;15.06.2024 01:45;9.944,25
15.06.2024 01:45;15.06.2024 02:00;9.911,75
15.06.2024 02:00;15.06.2024 02:15;9.658,00
15.06.2024 02:15;15.06.2024 02:30;9.543,25
15.06.2024 02:30;15.06.2024 02:45;9.468,75
15.06.2024 02:45;15.06.2024 03:00;9.470,75
15.06.2024 03:00;15.06.2024 03:15;9.448,00
15.06.2024 03:15;15.06.2024 03:30;9.335,75
15.06.2024 03:30;15.06.2024 03:45;9.315,00
15.06.2024 03:45;15.06.2024 04:00;9.345,00
15.06.2024 04:00;15.06.2024 04:15;9.328,25
15.06.2024 04:15;15.06.2024 04:30;9.352,25
15.06.2024 04:30;15.06.2024 04:45;9.323,75
15.06.2024 04:45;15.06.2024 05:00;9.368,50
15.06.2024 05:00;15.06.2024 05:15;9.490,50
15.06.2024 05:15;15.06.2024 05:30;9.452,50
15.06.2024 05:30;15.06.2024 05:45;9.394,00
15.06.2024 05:45;15.06.2024 06:00;9.587,50
15.06.2024 06:00;15.06.2024 06:15;9.744,75
15.06.2024 06:15;15.06.2024 06:30;9.874,25
15.06.2024 06:30;15.06.2024 06:45;9.959,00
15.06.2024 06:45;15.06.2024 07:00;10.161,75
15.06.2024 07:00;15.06.2024 07:15;10.378,00
15.06.2024 07:15;15.06.2024 07:30;10.601,75
15.06.2024 07:30;15.06.2024 07:45;10.775,50
15.06.2024 07:45;15.06.2024 08:00;10.984,00
15.06.2024 08:00;15.06.2024 08:15;11.280,25
15.06.2024 08:15;15.06.2024 08:30;11.400,00
15.06.2024 08:30;15.06.2024 08:45;11.602,75
15.06.2024 08:45;15.06.2024 09:00;11.733,50
15.06.2024 09:00;15.06.2024 09:15;11.947,25
15.06.2024 09:15;15.06.2024 09:30;11.977,75
15.06.2024 09:30;15.06.2024 09:45;12.160,50
15.06.2024 09:45;15.06.2024 10:00;12.205,25
15.06.2024 10:00;15.06.2024 10:15;12.405,00
15.06.2024 10:15;15.06.2024 10:30;12.421,50
15.06.2024 10:30;15.06.2024 10:45;12.536,50
15.06.2024 10:45;15.06.2024 11:00;12.405,00
15.06.2024 11:00;15.06.2024 11:15;12.590,75
15.06.2024 11:15;15.06.2024 11:30;12.770,50
15.06.2024 11:30;15.06.2024 11:45;12.932,00
15.06.2024 11:45;15.06.2024 12:00;12.901,75
15.06.2024 12:00;15.06.2024 12:15;12.689,25
15.06.2024 12:15;15.06.2024 12:30;12.586,00
15.06.2024 12:30;15.06.2024 12:45;12.525,00
15.06.2024 12:45;15.06.2024 13:00;12.437,75
15.06.2024 13:00;15.06.2024 13:15;12.000,50
15.06.2024 13:15;15.06.2024 13:30;11.960,50
15.06.2024 13:30;15.06.2024 13:45;11.871,25
15.06.2024 13:45;15.06.2024 14:00;11.755,25
15.06.2024 14:00;15.06.2024 14:15;11.734,50
15.06.2024 14:15;15.06.2024 14:30;11.706,00
15.06.2024 14:30;15.06.2024 14:45;11.550,50
15.06.2024 14:45;15.06.2024 15:00;11.370,00
15.06.2024 15:00;15.06.2024 15:15;11.464,25
15.06.2024 15:15;15.06.2024 15:30;11.291,00
15.06.2024 15:30;15.06.2024 15:45;11.255,25
15.06.2024 15:45;15.06.2024 16:00;11.087,50
15.06.2024 16:00;15.06.2024 16:15;11.364,00
15.06.2024 16:15;15.06.2024 16:30;11.294,00
15.06.2024 16:30;15.06.2024 16:45;11.202,25
15.06.2024 16:45;15.06.2024 17:00;11.349,00
15.06.2024 17:00;15.06.2024 17:15;11.458,50
15.06.2024 17:15;15.06.2024 17:30;11.559,00
15.06.2024 17:30;15.06.2024 17:45;11.787,75
15.06.2024 17:45;15.06.2024 18:00;11.730,75
15.06.2024 18:00;15.06.2024 18:15;11.704,75
15.06.2024 18:15;15.06.2024 18:30;11.723,25
15.06.2024 18:30;15.06.2024 18:45;11.702,00
15.06.2024 18:45;15.06.2024 19:00;11.632,00
15.06.2024 19:00;15.06.2024 19:15;11.511,25
15.06.2024 19:15;15.06.2024 19:30;11.599,25
15.06.2024 19:30;15.06.2024 19:45;11.582,50
15.06.2024 19:45;15.06.2024 20:00;11.393,25
15.06.2024 20:00;15.06.2024 20:15;11.212,00
15.06.2024 20:15;15.06.2024 20:30;11.105,75
15.06.2024 20:30;15.06.2024 20:45;11.014,00
15.06.2024 20:45;15.06.2024 21:00;10.986,50
15.06.2024 21:00;15.06.2024 21:15;10.915,50
15.06.2024 21:15;15.06.2024 21:30;10.799,25
15.06.2024 21:30;15.06.2024 21:45;10.672,25
15.06.2024 21:45;15.06.2024 22:00;10.618,00
15.06.2024 22:00;15.06.2024 22:15;10.616,00
15.06.2024 22:15;15.06.2024 22:30;10.567,50
15.06.2024 22:30;15.06.2024 22:45;10.498,75
15.06.2024 22:45;15.06.2024 23:00;10.227,50
15.06.2024 23:00;15.06.2024 23:15;10.139,25
15.06.2024 23:15;15.06.2024 23:30;9.939,50
15.06.2024 23:30;15.06.2024 23:45;9.783,00
15.06.2024 23:45;16.06.2024 00:00;9.678,75
16.06.2024 00:00;16.06.2024 00:15;9.721,00
16.06.2024 00:15;16.06.2024 00:30;9.607,25
16.06.2024 00:30;16.06.2024 00:45;9.533,75
16.06.2024 00:45;16.06.2024 01:00;9.337,50
16.06.2024 01:00;16.06.2024 01:15;9.262,00
16.06.2024 01:15;16.06.2024 01:30;9.125,50
16.06.2024 01:30;16.06.2024 01:45;8.993,25
16.06.2024 01:45;16.06.2024 02:00;8.990,25
16.06.2024 02:00;16.06.2024 02:15;8.980,50
16.06.2024 02:15;16.06.2024 02:30;8.923,00
16.06.2024 02:30;16.06.2024 02:45;8.878,25
16.06.2024 02:45;16.06.2024 03:00;8.751,00
16.06.2024 03:00;16.06.2024 03:15;8.764,75
16.06.2024 03:15;16.06.2024 03:30;8.671,25
16.06.2024 03:30;16.06.2024 03:45;8.653,50
16.06.2024 03:45;16.06.2024 04:00;8.662,25
16.06.2024 04:00;16.06.2024 04:15;8.720,25
16.06.2024 04:15;16.06.2024 04:30;8.751,25
16.06.2024 04:30;16.06.2024 04:45;8.817,75
16.06.2024 04:45;16.06.2024 05:00;8.796,25
16.06.2024 05:00;16.06.2024 05:15;8.777,00
16.06.2024 05:15;16.06.2024 05:30;8.745,25
16.06.2024 05:30;16.06.2024 05:45;8.705,25
