Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
12.07.2019 00:00;12.07.2019 00:15;11.844,25
12.07.2019 00:15;12.07.2019 00:30;11.728,75
12.07.2019 00:30;12.07.2019 00:45;11.632,75
12.07.2019 00:45;12.07.2019 01:00;11.520,75
12.07.2019 01:00;12.07.2019 01:15;11.417,00
12.07.2019 01:15;12.07.2019 01:30;11.348,75
12.07.2019 01:30;12.07.2019 01:45;11.240,50
12.07.2019 01:45;12.07.2019 02:00;11.231,00
12.07.2019 02:00;12.07.2019 02:15;11.123,25
12.07.2019 02:15;12.07.2019 02:30;11.089,00
12.07.2019 02:30;12.07.2019 02:45;11.039,25
12.07.2019 02:45;12.07.2019 03:00;11.012,25
12.07.2019 03:00;12.07.2019 03:15;11.148,00
12.07.2019 03:15;12.07.2019 03:30;11.114,00
12.07.2019 03:30;12.07.2019 03:45;11.102,00
12.07.2019 03:45;12.07.2019 04:00;11.122,75
12.07.2019 04:00;12.07.2019 04:15;11.306,25
12.07.2019 04:15;12.07.2019 04:30;11.384,25
12.07.2019 04:30;12.07.2019 04:45;11.443,50
12.07.2019 04:45;12.07.2019 05:00;11.542,00
12.07.2019 05:00;12.07.2019 05:15;11.810,25
12.07.2019 05:15;12.07.2019 05:30;11.926,00
12.07.2019 05:30;12.07.2019 05:45;12.077,25
12.07.2019 05:45;12.07.2019 06:00;12.442,50
12.07.2019 06:00;12.07.2019 06:15;13.137,00
12.07.2019 06:15;12.07.2019 06:30;13.642,25
12.07.2019 06:30;12.07.2019 06:45;14.059,75
12.07.2019 06:45;12.07.2019 07:00;14.372,75
12.07.2019 07:00;12.07.2019 07:15;14.800,75
12.07.2019 07:15;12.07.2019 07:30;15.002,00
12.07.2019 07:30;12.07.2019 07:45;15.308,75
12.07.2019 07:45;12.07.2019 08:00;15.520,75
12.07.2019 08:00;12.07.2019 08:15;15.794,75
12.07.2019 08:15;12.07.2019 08:30;15.992,25
12.07.2019 08:30;12.07.2019 08:45;16.077,75
12.07.2019 08:45;12.07.2019 09:00;16.262,25
12.07.2019 09:00;12.07.2019 09:15;16.211,75
12.07.2019 09:15;12.07.2019 09:30;16.247,50
12.07.2019 09:30;12.07.2019 09:45;16.434,25
12.07.2019 09:45;12.07.2019 10:00;16.533,75
12.07.2019 10:00;12.07.2019 10:15;16.563,00
12.07.2019 10:15;12.07.2019 10:30;16.647,50
12.07.2019 10:30;12.07.2019 10:45;16.753,50
12.07.2019 10:45;12.07.2019 11:00;16.828,25
