Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
10.06.2016 00:00;10.06.2016 00:15;11.930,50
10.06.2016 00:15;10.06.2016 00:30;11.764,50
10.06.2016 00:30;10.06.2016 00:45;11.602,50
10.06.2016 00:45;10.06.2016 01:00;11.495,00
10.06.2016 01:00;10.06.2016 01:15;11.384,25
10.06.2016 01:15;10.06.2016 01:30;11.272,50
10.06.2016 01:30;10.06.2016 01:45;11.151,50
10.06.2016 01:45;10.06.2016 02:00;11.106,50
10.06.2016 02:00;10.06.2016 02:15;11.013,25
10.06.2016 02:15;10.06.2016 02:30;10.905,00
10.06.2016 02:30;10.06.2016 02:45;10.930,00
10.06.2016 02:45;10.06.2016 03:00;10.922,25
10.06.2016 03:00;10.06.2016 03:15;10.960,00
10.06.2016 03:15;10.06.2016 03:30;10.974,00
10.06.2016 03:30;10.06.2016 03:45;10.956,00
10.06.2016 03:45;10.06.2016 04:00;10.939,25
10.06.2016 04:00;10.06.2016 04:15;11.032,75
10.06.2016 04:15;10.06.2016 04:30;11.168,25
10.06.2016 04:30;10.06.2016 04:45;11.245,75
10.06.2016 04:45;10.06.2016 05:00;11.322,00
10.06.2016 05:00;10.06.2016 05:15;11.512,50
10.06.2016 05:15;10.06.2016 05:30;11.689,25
10.06.2016 05:30;10.06.2016 05:45;11.945,50
10.06.2016 05:45;10.06.2016 06:00;12.266,25
10.06.2016 06:00;10.06.2016 06:15;13.131,75
10.06.2016 06:15;10.06.2016 06:30;13.678,75
10.06.2016 06:30;10.06.2016 06:45;14.100,50
10.06.2016 06:45;10.06.2016 07:00;14.457,00
10.06.2016 07:00;10.06.2016 07:15;14.990,50
10.06.2016 07:15;10.06.2016 07:30;15.347,50
10.06.2016 07:30;10.06.2016 07:45;15.552,50
10.06.2016 07:45;10.06.2016 08:00;15.822,75
10.06.2016 08:00;10.06.2016 08:15;16.076,50
10.06.2016 08:15;10.06.2016 08:30;16.218,00
10.06.2016 08:30;10.06.2016 08:45;16.364,75
10.06.2016 08:45;10.06.2016 09:00;16.314,50
10.06.2016 09:00;10.06.2016 09:15;16.290,50
10.06.2016 09:15;10.06.2016 09:30;16.371,50
10.06.2016 09:30;10.06.2016 09:45;16.477,50
10.06.2016 09:45;10.06.2016 10:00;16.608,00
10.06.2016 10:00;10.06.2016 10:15;16.640,25
10.06.2016 10:15;10.06.2016 10:30;16.749,00
10.06.2016 10:30;10.06.2016 10:45;16.797,75
10.06.2016 10:45;10.06.2016 11:00;16.879,25
10.06.2016 11:00;10.06.2016 11:15;16.901,25
10.06.2016 11:15;10.06.2016 11:30;16.927,25
10.06.2016 11:30;10.06.2016 11:45;16.955,00
10.06.2016 11:45;10.06.2016 12:00;16.983,00
10.06.2016 12:00;10.06.2016 12:15;16.842,00
10.06.2016 12:15;10.06.2016 12:30;16.808,50
10.06.2016 12:30;10.06.2016 12:45;16.762,50
10.06.2016 12:45;10.06.2016 13:00;16.698,50
10.06.2016 13:00;10.06.2016 13:15;16.601,50
10.06.2016 13:15;10.06.2016 13:30;16.487,25
10.06.2016 13:30;10.06.2016 13:45;16.331,50
10.06.2016 13:45;10.06.2016 14:00;16.176,00
10.06.2016 14:00;10.06.2016 14:15;16.113,25
10.06.2016 14:15;10.06.2016 14:30;16.075,75
10.06.2016 14:30;10.06.2016 14:45;16.058,00
10.06.2016 14:45;10.06.2016 15:00;15.897,00
10.06.2016 15:00;10.06.2016 15:15;15.916,50
10.06.2016 15:15;10.06.2016 15:30;15.786,50
10.06.2016 15:30;10.06.2016 15:45;15.692,75
10.06.2016 15:45;10.06.2016 16:00;15.567,75
10.06.2016 16:00;10.06.2016 16:15;15.521,00
10.06.2016 16:15;10.06.2016 16:30;15.414,25
10.06.2016 16:30;10.06.2016 16:45;15.333,50
10.06.2016 16:45;10.06.2016 17:00;15.299,50
10.06.2016 17:00;10.06.2016 17:15;15.216,25
10.06.2016 17:15;10.06.2016 17:30;15.171,25
10.06.2016 17:30;10.06.2016 17:45;15.115,25
10.06.2016 17:45;10.06.2016 18:00;15.033,50
10.06.2016 18:00;10.06.2016 18:15;14.990,75
10.06.2016 18:15;10.06.2016 18:30;14.922,00
10.06.2016 18:30;10.06.2016 18:45;14.955,50
10.06.2016 18:45;10.06.2016 19:00;15.001,00
10.06.2016 19:00;10.06.2016 19:15;14.893,75
10.06.2016 19:15;10.06.2016 19:30;14.746,50
10.06.2016 19:30;10.06.2016 19:45;14.636,00
10.06.2016 19:45;10.06.2016 20:00;14.594,50
10.06.2016 20:00;10.06.2016 20:15;14.353,50
10.06.2016 20:15;10.06.2016 20:30;14.137,00
10.06.2016 20:30;10.06.2016 20:45;13.970,50
10.06.2016 20:45;10.06.2016 21:00;13.817,75
10.06.2016 21:00;10.06.2016 21:15;13.665,00
10.06.2016 21:15;10.06.2016 21:30;13.545,00
10.06.2016 21:30;10.06.2016 21:45;13.447,25
10.06.2016 21:45;10.06.2016 22:00;13.431,50
10.06.2016 22:00;10.06.2016 22:15;13.370,25
10.06.2016 22:15;10.06.2016 22:30;13.233,50
10.06.2016 22:30;10.06.2016 22:45;13.003,25
10.06.2016 22:45;10.06.2016 23:00;12.818,75
10.06.2016 23:00;10.06.2016 23:15;12.459,25
10.06.2016 23:15;10.06.2016 23:30;12.176,00
10.06.2016 23:30;10.06.2016 23:45;11.931,00
10.06.2016 23:45;11.06.2016 00:00;11.781,00
11.06.2016 00:00;11.06.2016 00:15;11.470,00
11.06.2016 00:15;11.06.2016 00:30;11.366,00
11.06.2016 00:30;11.06.2016 00:45;11.208,00
11.06.2016 00:45;11.06.2016 01:00;11.087,25
11.06.2016 01:00;11.06.2016 01:15;10.867,25
11.06.2016 01:15;11.06.2016 01:30;10.799,25
11.06.2016 01:30;11.06.2016 01:45;10.634,25
11.06.2016 01:45;11.06.2016 02:00;10.578,25
11.06.2016 02:00;11.06.2016 02:15;10.511,25
11.06.2016 02:15;11.06.2016 02:30;10.484,50
11.06.2016 02:30;11.06.2016 02:45;10.455,25
11.06.2016 02:45;11.06.2016 03:00;10.374,50
11.06.2016 03:00;11.06.2016 03:15;10.339,50
11.06.2016 03:15;11.06.2016 03:30;10.297,25
11.06.2016 03:30;11.06.2016 03:45;10.277,00
11.06.2016 03:45;11.06.2016 04:00;10.215,50
11.06.2016 04:00;11.06.2016 04:15;10.220,00
11.06.2016 04:15;11.06.2016 04:30;10.261,75
11.06.2016 04:30;11.06.2016 04:45;10.233,75
11.06.2016 04:45;11.06.2016 05:00;10.212,25
11.06.2016 05:00;11.06.2016 05:15;10.170,50
11.06.2016 05:15;11.06.2016 05:30;10.169,50
11.06.2016 05:30;11.06.2016 05:45;10.207,25
11.06.2016 05:45;11.06.2016 06:00;10.296,75
11.06.2016 06:00;11.06.2016 06:15;10.524,25
11.06.2016 06:15;11.06.2016 06:30;10.717,50
11.06.2016 06:30;11.06.2016 06:45;10.927,50
