Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
17.06.2018 00:00;17.06.2018 00:15;10.705,75
17.06.2018 00:15;17.06.2018 00:30;10.541,50
17.06.2018 00:30;17.06.2018 00:45;10.406,50
17.06.2018 00:45;17.06.2018 01:00;10.313,50
17.06.2018 01:00;17.06.2018 01:15;10.131,75
17.06.2018 01:15;17.06.2018 01:30;10.080,00
17.06.2018 01:30;17.06.2018 01:45;9.962,50
17.06.2018 01:45;17.06.2018 02:00;9.913,00
17.06.2018 02:00;17.06.2018 02:15;9.764,00
17.06.2018 02:15;17.06.2018 02:30;9.660,00
17.06.2018 02:30;17.06.2018 02:45;9.604,00
17.06.2018 02:45;17.06.2018 03:00;9.505,75
17.06.2018 03:00;17.06.2018 03:15;9.442,75
17.06.2018 03:15;17.06.2018 03:30;9.379,25
17.06.2018 03:30;17.06.2018 03:45;9.412,25
17.06.2018 03:45;17.06.2018 04:00;9.440,50
17.06.2018 04:00;17.06.2018 04:15;9.412,50
17.06.2018 04:15;17.06.2018 04:30;9.376,25
17.06.2018 04:30;17.06.2018 04:45;9.363,75
17.06.2018 04:45;17.06.2018 05:00;9.342,25
17.06.2018 05:00;17.06.2018 05:15;9.287,75
17.06.2018 05:15;17.06.2018 05:30;9.173,00
17.06.2018 05:30;17.06.2018 05:45;9.249,50
17.06.2018 05:45;17.06.2018 06:00;9.266,75
17.06.2018 06:00;17.06.2018 06:15;9.427,00
17.06.2018 06:15;17.06.2018 06:30;9.515,50
17.06.2018 06:30;17.06.2018 06:45;9.635,75
17.06.2018 06:45;17.06.2018 07:00;9.715,00
17.06.2018 07:00;17.06.2018 07:15;9.937,50
17.06.2018 07:15;17.06.2018 07:30;10.159,50
17.06.2018 07:30;17.06.2018 07:45;10.350,50
17.06.2018 07:45;17.06.2018 08:00;10.489,50
17.06.2018 08:00;17.06.2018 08:15;10.782,50
17.06.2018 08:15;17.06.2018 08:30;11.056,75
17.06.2018 08:30;17.06.2018 08:45;11.224,25
17.06.2018 08:45;17.06.2018 09:00;11.426,25
17.06.2018 09:00;17.06.2018 09:15;11.640,25
17.06.2018 09:15;17.06.2018 09:30;11.832,00
17.06.2018 09:30;17.06.2018 09:45;12.040,75
17.06.2018 09:45;17.06.2018 10:00;12.180,00
17.06.2018 10:00;17.06.2018 10:15;12.325,00
17.06.2018 10:15;17.06.2018 10:30;12.425,25
17.06.2018 10:30;17.06.2018 10:45;12.695,00
17.06.2018 10:45;17.06.2018 11:00;12.788,50
17.06.2018 11:00;17.06.2018 11:15;12.851,75
17.06.2018 11:15;17.06.2018 11:30;12.968,50
17.06.2018 11:30;17.06.2018 11:45;13.096,50
17.06.2018 11:45;17.06.2018 12:00;13.105,00
