Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
09.07.2024 00:00;09.07.2024 00:15;11.105,25
09.07.2024 00:15;09.07.2024 00:30;10.973,00
09.07.2024 00:30;09.07.2024 00:45;10.940,75
09.07.2024 00:45;09.07.2024 01:00;10.881,25
09.07.2024 01:00;09.07.2024 01:15;10.569,00
09.07.2024 01:15;09.07.2024 01:30;10.542,25
09.07.2024 01:30;09.07.2024 01:45;10.465,50
09.07.2024 01:45;09.07.2024 02:00;10.381,50
09.07.2024 02:00;09.07.2024 02:15;10.211,50
09.07.2024 02:15;09.07.2024 02:30;10.126,25
09.07.2024 02:30;09.07.2024 02:45;10.166,50
09.07.2024 02:45;09.07.2024 03:00;10.168,25
09.07.2024 03:00;09.07.2024 03:15;10.065,50
09.07.2024 03:15;09.07.2024 03:30;10.058,25
09.07.2024 03:30;09.07.2024 03:45;10.047,25
09.07.2024 03:45;09.07.2024 04:00;10.137,25
09.07.2024 04:00;09.07.2024 04:15;10.239,00
09.07.2024 04:15;09.07.2024 04:30;10.381,25
09.07.2024 04:30;09.07.2024 04:45;10.475,50
09.07.2024 04:45;09.07.2024 05:00;10.574,00
09.07.2024 05:00;09.07.2024 05:15;10.725,00
09.07.2024 05:15;09.07.2024 05:30;10.845,25
09.07.2024 05:30;09.07.2024 05:45;11.071,25
09.07.2024 05:45;09.07.2024 06:00;11.474,25
09.07.2024 06:00;09.07.2024 06:15;12.191,25
09.07.2024 06:15;09.07.2024 06:30;12.707,25
09.07.2024 06:30;09.07.2024 06:45;13.023,75
09.07.2024 06:45;09.07.2024 07:00;13.313,50
09.07.2024 07:00;09.07.2024 07:15;13.781,25
09.07.2024 07:15;09.07.2024 07:30;14.078,75
09.07.2024 07:30;09.07.2024 07:45;14.417,75
09.07.2024 07:45;09.07.2024 08:00;14.477,50
09.07.2024 08:00;09.07.2024 08:15;14.764,00
09.07.2024 08:15;09.07.2024 08:30;14.994,25
09.07.2024 08:30;09.07.2024 08:45;15.155,50
09.07.2024 08:45;09.07.2024 09:00;15.272,00
09.07.2024 09:00;09.07.2024 09:15;15.208,00
09.07.2024 09:15;09.07.2024 09:30;15.357,75
09.07.2024 09:30;09.07.2024 09:45;15.512,00
09.07.2024 09:45;09.07.2024 10:00;15.511,25
09.07.2024 10:00;09.07.2024 10:15;15.471,50
09.07.2024 10:15;09.07.2024 10:30;15.411,50
09.07.2024 10:30;09.07.2024 10:45;15.478,75
09.07.2024 10:45;09.07.2024 11:00;15.456,25
09.07.2024 11:00;09.07.2024 11:15;15.615,25
09.07.2024 11:15;09.07.2024 11:30;15.615,25
09.07.2024 11:30;09.07.2024 11:45;15.631,50
09.07.2024 11:45;09.07.2024 12:00;15.695,25
09.07.2024 12:00;09.07.2024 12:15;15.545,00
09.07.2024 12:15;09.07.2024 12:30;15.442,50
09.07.2024 12:30;09.07.2024 12:45;15.450,25
09.07.2024 12:45;09.07.2024 13:00;15.428,25
09.07.2024 13:00;09.07.2024 13:15;15.492,25
09.07.2024 13:15;09.07.2024 13:30;15.426,50
09.07.2024 13:30;09.07.2024 13:45;15.262,50
09.07.2024 13:45;09.07.2024 14:00;15.160,50
09.07.2024 14:00;09.07.2024 14:15;15.045,00
09.07.2024 14:15;09.07.2024 14:30;14.989,00
09.07.2024 14:30;09.07.2024 14:45;15.012,50
09.07.2024 14:45;09.07.2024 15:00;14.895,50
09.07.2024 15:00;09.07.2024 15:15;14.884,00
09.07.2024 15:15;09.07.2024 15:30;14.819,00
09.07.2024 15:30;09.07.2024 15:45;14.679,75
09.07.2024 15:45;09.07.2024 16:00;14.465,00
09.07.2024 16:00;09.07.2024 16:15;14.523,75
09.07.2024 16:15;09.07.2024 16:30;14.475,25
09.07.2024 16:30;09.07.2024 16:45;14.462,00
09.07.2024 16:45;09.07.2024 17:00;14.553,50
09.07.2024 17:00;09.07.2024 17:15;14.596,75
09.07.2024 17:15;09.07.2024 17:30;14.389,00
09.07.2024 17:30;09.07.2024 17:45;14.361,75
09.07.2024 17:45;09.07.2024 18:00;14.527,75
09.07.2024 18:00;09.07.2024 18:15;14.536,00
09.07.2024 18:15;09.07.2024 18:30;14.487,75
09.07.2024 18:30;09.07.2024 18:45;14.604,50
09.07.2024 18:45;09.07.2024 19:00;14.687,25
09.07.2024 19:00;09.07.2024 19:15;14.659,00
09.07.2024 19:15;09.07.2024 19:30;14.761,00
09.07.2024 19:30;09.07.2024 19:45;14.824,75
09.07.2024 19:45;09.07.2024 20:00;14.738,75
09.07.2024 20:00;09.07.2024 20:15;14.691,50
09.07.2024 20:15;09.07.2024 20:30;14.487,25
09.07.2024 20:30;09.07.2024 20:45;14.315,50
09.07.2024 20:45;09.07.2024 21:00;14.158,75
09.07.2024 21:00;09.07.2024 21:15;13.882,50
09.07.2024 21:15;09.07.2024 21:30;13.768,00
09.07.2024 21:30;09.07.2024 21:45;13.657,00
09.07.2024 21:45;09.07.2024 22:00;13.713,50
09.07.2024 22:00;09.07.2024 22:15;13.944,75
09.07.2024 22:15;09.07.2024 22:30;13.672,00
