Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
26.06.2017 00:00;26.06.2017 00:15;11.151,75
26.06.2017 00:15;26.06.2017 00:30;11.071,75
26.06.2017 00:30;26.06.2017 00:45;10.982,75
26.06.2017 00:45;26.06.2017 01:00;10.766,75
26.06.2017 01:00;26.06.2017 01:15;10.744,75
26.06.2017 01:15;26.06.2017 01:30;10.641,00
26.06.2017 01:30;26.06.2017 01:45;10.568,25
26.06.2017 01:45;26.06.2017 02:00;10.499,50
26.06.2017 02:00;26.06.2017 02:15;10.463,25
26.06.2017 02:15;26.06.2017 02:30;10.377,75
26.06.2017 02:30;26.06.2017 02:45;10.421,50
26.06.2017 02:45;26.06.2017 03:00;10.370,50
26.06.2017 03:00;26.06.2017 03:15;10.360,00
26.06.2017 03:15;26.06.2017 03:30;10.345,00
26.06.2017 03:30;26.06.2017 03:45;10.387,50
26.06.2017 03:45;26.06.2017 04:00;10.442,75
26.06.2017 04:00;26.06.2017 04:15;10.651,00
26.06.2017 04:15;26.06.2017 04:30;10.756,25
26.06.2017 04:30;26.06.2017 04:45;10.800,50
26.06.2017 04:45;26.06.2017 05:00;10.905,25
26.06.2017 05:00;26.06.2017 05:15;11.163,25
26.06.2017 05:15;26.06.2017 05:30;11.334,50
26.06.2017 05:30;26.06.2017 05:45;11.656,25
26.06.2017 05:45;26.06.2017 06:00;12.130,25
26.06.2017 06:00;26.06.2017 06:15;12.983,25
26.06.2017 06:15;26.06.2017 06:30;13.526,25
26.06.2017 06:30;26.06.2017 06:45;13.992,75
26.06.2017 06:45;26.06.2017 07:00;14.456,75
26.06.2017 07:00;26.06.2017 07:15;14.998,75
26.06.2017 07:15;26.06.2017 07:30;15.400,50
26.06.2017 07:30;26.06.2017 07:45;15.662,25
26.06.2017 07:45;26.06.2017 08:00;15.934,00
26.06.2017 08:00;26.06.2017 08:15;16.263,00
26.06.2017 08:15;26.06.2017 08:30;16.429,75
26.06.2017 08:30;26.06.2017 08:45;16.554,50
26.06.2017 08:45;26.06.2017 09:00;16.601,25
26.06.2017 09:00;26.06.2017 09:15;16.546,00
26.06.2017 09:15;26.06.2017 09:30;16.655,75
26.06.2017 09:30;26.06.2017 09:45;16.764,25
26.06.2017 09:45;26.06.2017 10:00;16.881,25
26.06.2017 10:00;26.06.2017 10:15;16.950,50
26.06.2017 10:15;26.06.2017 10:30;17.006,75
26.06.2017 10:30;26.06.2017 10:45;17.153,75
