Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
08.07.2021 00:00;08.07.2021 00:15;12.256,00
08.07.2021 00:15;08.07.2021 00:30;12.117,50
08.07.2021 00:30;08.07.2021 00:45;11.961,25
08.07.2021 00:45;08.07.2021 01:00;11.878,50
08.07.2021 01:00;08.07.2021 01:15;11.760,00
08.07.2021 01:15;08.07.2021 01:30;11.641,00
08.07.2021 01:30;08.07.2021 01:45;11.528,00
08.07.2021 01:45;08.07.2021 02:00;11.496,50
08.07.2021 02:00;08.07.2021 02:15;11.459,50
08.07.2021 02:15;08.07.2021 02:30;11.419,75
08.07.2021 02:30;08.07.2021 02:45;11.472,00
08.07.2021 02:45;08.07.2021 03:00;11.433,25
08.07.2021 03:00;08.07.2021 03:15;11.471,00
08.07.2021 03:15;08.07.2021 03:30;11.443,50
08.07.2021 03:30;08.07.2021 03:45;11.442,25
08.07.2021 03:45;08.07.2021 04:00;11.501,25
08.07.2021 04:00;08.07.2021 04:15;11.611,25
08.07.2021 04:15;08.07.2021 04:30;11.695,25
08.07.2021 04:30;08.07.2021 04:45;11.674,75
08.07.2021 04:45;08.07.2021 05:00;11.776,25
08.07.2021 05:00;08.07.2021 05:15;12.000,75
08.07.2021 05:15;08.07.2021 05:30;12.117,25
08.07.2021 05:30;08.07.2021 05:45;12.340,75
08.07.2021 05:45;08.07.2021 06:00;12.564,50
08.07.2021 06:00;08.07.2021 06:15;13.301,75
08.07.2021 06:15;08.07.2021 06:30;13.717,50
08.07.2021 06:30;08.07.2021 06:45;14.029,00
08.07.2021 06:45;08.07.2021 07:00;14.280,25
08.07.2021 07:00;08.07.2021 07:15;14.738,25
08.07.2021 07:15;08.07.2021 07:30;15.026,00
08.07.2021 07:30;08.07.2021 07:45;15.295,75
08.07.2021 07:45;08.07.2021 08:00;15.535,00
08.07.2021 08:00;08.07.2021 08:15;15.720,50
08.07.2021 08:15;08.07.2021 08:30;15.880,50
08.07.2021 08:30;08.07.2021 08:45;15.955,00
08.07.2021 08:45;08.07.2021 09:00;16.060,75
08.07.2021 09:00;08.07.2021 09:15;16.011,50
08.07.2021 09:15;08.07.2021 09:30;16.129,50
08.07.2021 09:30;08.07.2021 09:45;16.254,00
08.07.2021 09:45;08.07.2021 10:00;16.366,50
08.07.2021 10:00;08.07.2021 10:15;16.369,75
