Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
26.06.2018 00:00;26.06.2018 00:15;12.199,50
26.06.2018 00:15;26.06.2018 00:30;11.991,25
26.06.2018 00:30;26.06.2018 00:45;11.860,50
26.06.2018 00:45;26.06.2018 01:00;11.804,25
26.06.2018 01:00;26.06.2018 01:15;11.644,75
26.06.2018 01:15;26.06.2018 01:30;11.546,00
26.06.2018 01:30;26.06.2018 01:45;11.478,75
26.06.2018 01:45;26.06.2018 02:00;11.394,75
26.06.2018 02:00;26.06.2018 02:15;11.232,25
26.06.2018 02:15;26.06.2018 02:30;11.220,50
26.06.2018 02:30;26.06.2018 02:45;11.167,25
26.06.2018 02:45;26.06.2018 03:00;11.155,50
26.06.2018 03:00;26.06.2018 03:15;11.237,50
26.06.2018 03:15;26.06.2018 03:30;11.284,00
26.06.2018 03:30;26.06.2018 03:45;11.255,25
26.06.2018 03:45;26.06.2018 04:00;11.252,00
26.06.2018 04:00;26.06.2018 04:15;11.395,25
26.06.2018 04:15;26.06.2018 04:30;11.465,25
26.06.2018 04:30;26.06.2018 04:45;11.522,00
26.06.2018 04:45;26.06.2018 05:00;11.535,25
26.06.2018 05:00;26.06.2018 05:15;11.892,75
26.06.2018 05:15;26.06.2018 05:30;12.017,75
26.06.2018 05:30;26.06.2018 05:45;12.237,50
26.06.2018 05:45;26.06.2018 06:00;12.539,25
26.06.2018 06:00;26.06.2018 06:15;13.366,50
26.06.2018 06:15;26.06.2018 06:30;13.939,00
26.06.2018 06:30;26.06.2018 06:45;14.404,75
26.06.2018 06:45;26.06.2018 07:00;14.776,50
26.06.2018 07:00;26.06.2018 07:15;15.285,25
26.06.2018 07:15;26.06.2018 07:30;15.562,00
26.06.2018 07:30;26.06.2018 07:45;15.849,00
26.06.2018 07:45;26.06.2018 08:00;16.049,25
26.06.2018 08:00;26.06.2018 08:15;16.343,50
26.06.2018 08:15;26.06.2018 08:30;16.507,25
26.06.2018 08:30;26.06.2018 08:45;16.526,50
26.06.2018 08:45;26.06.2018 09:00;16.574,25
26.06.2018 09:00;26.06.2018 09:15;16.514,50
26.06.2018 09:15;26.06.2018 09:30;16.605,25
26.06.2018 09:30;26.06.2018 09:45;16.740,50
26.06.2018 09:45;26.06.2018 10:00;16.838,50
26.06.2018 10:00;26.06.2018 10:15;16.798,25
26.06.2018 10:15;26.06.2018 10:30;16.856,00
26.06.2018 10:30;26.06.2018 10:45;16.957,00
26.06.2018 10:45;26.06.2018 11:00;17.093,50
26.06.2018 11:00;26.06.2018 11:15;17.152,25
26.06.2018 11:15;26.06.2018 11:30;17.147,50
26.06.2018 11:30;26.06.2018 11:45;17.295,75
26.06.2018 11:45;26.06.2018 12:00;17.227,75
26.06.2018 12:00;26.06.2018 12:15;17.110,50
26.06.2018 12:15;26.06.2018 12:30;17.025,00
26.06.2018 12:30;26.06.2018 12:45;17.044,50
26.06.2018 12:45;26.06.2018 13:00;17.079,50
26.06.2018 13:00;26.06.2018 13:15;17.102,00
26.06.2018 13:15;26.06.2018 13:30;16.962,25
26.06.2018 13:30;26.06.2018 13:45;16.841,75
26.06.2018 13:45;26.06.2018 14:00;16.691,75
26.06.2018 14:00;26.06.2018 14:15;16.667,75
26.06.2018 14:15;26.06.2018 14:30;16.593,75
26.06.2018 14:30;26.06.2018 14:45;16.578,75
26.06.2018 14:45;26.06.2018 15:00;16.481,25
26.06.2018 15:00;26.06.2018 15:15;16.462,75
26.06.2018 15:15;26.06.2018 15:30;16.387,00
26.06.2018 15:30;26.06.2018 15:45;16.303,25
26.06.2018 15:45;26.06.2018 16:00;16.281,00
26.06.2018 16:00;26.06.2018 16:15;16.268,50
26.06.2018 16:15;26.06.2018 16:30;16.148,25
26.06.2018 16:30;26.06.2018 16:45;16.117,50
26.06.2018 16:45;26.06.2018 17:00;16.105,50
26.06.2018 17:00;26.06.2018 17:15;16.130,75
26.06.2018 17:15;26.06.2018 17:30;16.135,75
26.06.2018 17:30;26.06.2018 17:45;16.105,75
26.06.2018 17:45;26.06.2018 18:00;16.140,50
26.06.2018 18:00;26.06.2018 18:15;16.045,50
26.06.2018 18:15;26.06.2018 18:30;16.015,75
26.06.2018 18:30;26.06.2018 18:45;15.956,25
26.06.2018 18:45;26.06.2018 19:00;16.002,75
26.06.2018 19:00;26.06.2018 19:15;16.005,50
26.06.2018 19:15;26.06.2018 19:30;15.837,00
26.06.2018 19:30;26.06.2018 19:45;15.710,50
26.06.2018 19:45;26.06.2018 20:00;15.622,75
26.06.2018 20:00;26.06.2018 20:15;15.448,00
26.06.2018 20:15;26.06.2018 20:30;15.209,50
26.06.2018 20:30;26.06.2018 20:45;15.033,75
26.06.2018 20:45;26.06.2018 21:00;14.872,25
26.06.2018 21:00;26.06.2018 21:15;14.742,25
26.06.2018 21:15;26.06.2018 21:30;14.493,75
26.06.2018 21:30;26.06.2018 21:45;14.335,00
26.06.2018 21:45;26.06.2018 22:00;14.184,50
26.06.2018 22:00;26.06.2018 22:15;14.220,00
26.06.2018 22:15;26.06.2018 22:30;14.107,75
26.06.2018 22:30;26.06.2018 22:45;13.861,25
26.06.2018 22:45;26.06.2018 23:00;13.532,75
26.06.2018 23:00;26.06.2018 23:15;13.163,75
26.06.2018 23:15;26.06.2018 23:30;12.951,75
26.06.2018 23:30;26.06.2018 23:45;12.735,75
26.06.2018 23:45;27.06.2018 00:00;12.588,50
27.06.2018 00:00;27.06.2018 00:15;12.303,75
27.06.2018 00:15;27.06.2018 00:30;12.122,75
27.06.2018 00:30;27.06.2018 00:45;11.979,00
27.06.2018 00:45;27.06.2018 01:00;11.829,00
27.06.2018 01:00;27.06.2018 01:15;11.662,00
27.06.2018 01:15;27.06.2018 01:30;11.580,00
27.06.2018 01:30;27.06.2018 01:45;11.560,25
27.06.2018 01:45;27.06.2018 02:00;11.457,25
27.06.2018 02:00;27.06.2018 02:15;11.371,25
27.06.2018 02:15;27.06.2018 02:30;11.249,50
27.06.2018 02:30;27.06.2018 02:45;11.237,75
27.06.2018 02:45;27.06.2018 03:00;11.312,50
27.06.2018 03:00;27.06.2018 03:15;11.324,00
27.06.2018 03:15;27.06.2018 03:30;11.309,00
27.06.2018 03:30;27.06.2018 03:45;11.309,50
27.06.2018 03:45;27.06.2018 04:00;11.355,75
27.06.2018 04:00;27.06.2018 04:15;11.440,25
27.06.2018 04:15;27.06.2018 04:30;11.507,75
27.06.2018 04:30;27.06.2018 04:45;11.600,25
27.06.2018 04:45;27.06.2018 05:00;11.749,50
27.06.2018 05:00;27.06.2018 05:15;11.978,50
27.06.2018 05:15;27.06.2018 05:30;12.190,00
27.06.2018 05:30;27.06.2018 05:45;12.465,00
27.06.2018 05:45;27.06.2018 06:00;12.809,75
27.06.2018 06:00;27.06.2018 06:15;13.483,75
27.06.2018 06:15;27.06.2018 06:30;14.045,00
27.06.2018 06:30;27.06.2018 06:45;14.455,75
27.06.2018 06:45;27.06.2018 07:00;14.848,00
27.06.2018 07:00;27.06.2018 07:15;15.299,50
27.06.2018 07:15;27.06.2018 07:30;15.625,25
27.06.2018 07:30;27.06.2018 07:45;15.863,50
27.06.2018 07:45;27.06.2018 08:00;16.026,50
27.06.2018 08:00;27.06.2018 08:15;16.354,75
27.06.2018 08:15;27.06.2018 08:30;16.480,75
27.06.2018 08:30;27.06.2018 08:45;16.616,50
27.06.2018 08:45;27.06.2018 09:00;16.703,50
27.06.2018 09:00;27.06.2018 09:15;16.620,25
27.06.2018 09:15;27.06.2018 09:30;16.686,00
27.06.2018 09:30;27.06.2018 09:45;16.845,50
27.06.2018 09:45;27.06.2018 10:00;16.908,75
27.06.2018 10:00;27.06.2018 10:15;16.979,50
27.06.2018 10:15;27.06.2018 10:30;17.063,25
27.06.2018 10:30;27.06.2018 10:45;17.182,75
27.06.2018 10:45;27.06.2018 11:00;17.255,75
27.06.2018 11:00;27.06.2018 11:15;17.298,00
27.06.2018 11:15;27.06.2018 11:30;17.416,75
27.06.2018 11:30;27.06.2018 11:45;17.484,25
27.06.2018 11:45;27.06.2018 12:00;17.491,75
27.06.2018 12:00;27.06.2018 12:15;17.356,75
27.06.2018 12:15;27.06.2018 12:30;17.306,00
27.06.2018 12:30;27.06.2018 12:45;17.297,75
27.06.2018 12:45;27.06.2018 13:00;17.339,00
27.06.2018 13:00;27.06.2018 13:15;17.271,50
27.06.2018 13:15;27.06.2018 13:30;17.188,25
27.06.2018 13:30;27.06.2018 13:45;17.058,25
27.06.2018 13:45;27.06.2018 14:00;16.969,00
27.06.2018 14:00;27.06.2018 14:15;16.955,25
27.06.2018 14:15;27.06.2018 14:30;16.842,00
27.06.2018 14:30;27.06.2018 14:45;16.757,25
27.06.2018 14:45;27.06.2018 15:00;16.619,00
27.06.2018 15:00;27.06.2018 15:15;16.622,00
27.06.2018 15:15;27.06.2018 15:30;16.495,75
27.06.2018 15:30;27.06.2018 15:45;16.394,75
27.06.2018 15:45;27.06.2018 16:00;16.321,75
27.06.2018 16:00;27.06.2018 16:15;16.187,00
27.06.2018 16:15;27.06.2018 16:30;15.950,00
27.06.2018 16:30;27.06.2018 16:45;15.871,75
27.06.2018 16:45;27.06.2018 17:00;15.957,00
27.06.2018 17:00;27.06.2018 17:15;15.910,75
27.06.2018 17:15;27.06.2018 17:30;15.764,50
27.06.2018 17:30;27.06.2018 17:45;15.653,00
27.06.2018 17:45;27.06.2018 18:00;15.516,50
27.06.2018 18:00;27.06.2018 18:15;15.668,75
27.06.2018 18:15;27.06.2018 18:30;15.784,25
27.06.2018 18:30;27.06.2018 18:45;15.786,25
27.06.2018 18:45;27.06.2018 19:00;15.778,00
27.06.2018 19:00;27.06.2018 19:15;15.770,25
27.06.2018 19:15;27.06.2018 19:30;15.598,25
27.06.2018 19:30;27.06.2018 19:45;15.508,75
27.06.2018 19:45;27.06.2018 20:00;15.480,50
27.06.2018 20:00;27.06.2018 20:15;15.311,00
27.06.2018 20:15;27.06.2018 20:30;15.146,00
27.06.2018 20:30;27.06.2018 20:45;14.900,50
27.06.2018 20:45;27.06.2018 21:00;14.809,50
27.06.2018 21:00;27.06.2018 21:15;14.593,50
27.06.2018 21:15;27.06.2018 21:30;14.402,75
27.06.2018 21:30;27.06.2018 21:45;14.302,25
27.06.2018 21:45;27.06.2018 22:00;14.133,25
27.06.2018 22:00;27.06.2018 22:15;14.117,25
27.06.2018 22:15;27.06.2018 22:30;13.986,25
27.06.2018 22:30;27.06.2018 22:45;13.711,25
27.06.2018 22:45;27.06.2018 23:00;13.421,75
27.06.2018 23:00;27.06.2018 23:15;13.186,00
27.06.2018 23:15;27.06.2018 23:30;12.900,50
27.06.2018 23:30;27.06.2018 23:45;12.617,50
27.06.2018 23:45;28.06.2018 00:00;12.308,75
28.06.2018 00:00;28.06.2018 00:15;12.248,50
28.06.2018 00:15;28.06.2018 00:30;12.161,00
28.06.2018 00:30;28.06.2018 00:45;12.093,00
28.06.2018 00:45;28.06.2018 01:00;11.959,25
28.06.2018 01:00;28.06.2018 01:15;11.782,50
28.06.2018 01:15;28.06.2018 01:30;11.723,50
28.06.2018 01:30;28.06.2018 01:45;11.647,00
28.06.2018 01:45;28.06.2018 02:00;11.592,25
28.06.2018 02:00;28.06.2018 02:15;11.437,75
28.06.2018 02:15;28.06.2018 02:30;11.371,25
28.06.2018 02:30;28.06.2018 02:45;11.375,50
28.06.2018 02:45;28.06.2018 03:00;11.362,00
28.06.2018 03:00;28.06.2018 03:15;11.320,00
28.06.2018 03:15;28.06.2018 03:30;11.262,75
28.06.2018 03:30;28.06.2018 03:45;11.291,50
28.06.2018 03:45;28.06.2018 04:00;11.332,00
28.06.2018 04:00;28.06.2018 04:15;11.410,50
28.06.2018 04:15;28.06.2018 04:30;11.468,25
28.06.2018 04:30;28.06.2018 04:45;11.563,75
28.06.2018 04:45;28.06.2018 05:00;11.683,00
28.06.2018 05:00;28.06.2018 05:15;11.997,75
28.06.2018 05:15;28.06.2018 05:30;12.190,00
28.06.2018 05:30;28.06.2018 05:45;12.393,25
28.06.2018 05:45;28.06.2018 06:00;12.766,75
28.06.2018 06:00;28.06.2018 06:15;13.441,25
28.06.2018 06:15;28.06.2018 06:30;13.924,50
28.06.2018 06:30;28.06.2018 06:45;14.301,75
28.06.2018 06:45;28.06.2018 07:00;14.656,00
28.06.2018 07:00;28.06.2018 07:15;15.175,50
28.06.2018 07:15;28.06.2018 07:30;15.460,75
28.06.2018 07:30;28.06.2018 07:45;15.759,50
28.06.2018 07:45;28.06.2018 08:00;15.990,00
28.06.2018 08:00;28.06.2018 08:15;16.290,50
28.06.2018 08:15;28.06.2018 08:30;16.413,75
28.06.2018 08:30;28.06.2018 08:45;16.598,25
28.06.2018 08:45;28.06.2018 09:00;16.685,00
28.06.2018 09:00;28.06.2018 09:15;16.634,75
28.06.2018 09:15;28.06.2018 09:30;16.758,25
28.06.2018 09:30;28.06.2018 09:45;16.855,50
28.06.2018 09:45;28.06.2018 10:00;16.924,75
28.06.2018 10:00;28.06.2018 10:15;16.972,00
28.06.2018 10:15;28.06.2018 10:30;17.155,25
28.06.2018 10:30;28.06.2018 10:45;17.223,75
28.06.2018 10:45;28.06.2018 11:00;17.354,00
28.06.2018 11:00;28.06.2018 11:15;17.417,50
28.06.2018 11:15;28.06.2018 11:30;17.467,25
28.06.2018 11:30;28.06.2018 11:45;17.527,00
28.06.2018 11:45;28.06.2018 12:00;17.588,25
28.06.2018 12:00;28.06.2018 12:15;17.405,75
28.06.2018 12:15;28.06.2018 12:30;17.369,25
28.06.2018 12:30;28.06.2018 12:45;17.376,00
28.06.2018 12:45;28.06.2018 13:00;17.406,50
28.06.2018 13:00;28.06.2018 13:15;17.374,25
28.06.2018 13:15;28.06.2018 13:30;17.384,75
28.06.2018 13:30;28.06.2018 13:45;17.352,00
28.06.2018 13:45;28.06.2018 14:00;17.214,25
28.06.2018 14:00;28.06.2018 14:15;17.122,75
28.06.2018 14:15;28.06.2018 14:30;17.179,75
28.06.2018 14:30;28.06.2018 14:45;17.115,25
28.06.2018 14:45;28.06.2018 15:00;17.074,25
28.06.2018 15:00;28.06.2018 15:15;17.000,00
28.06.2018 15:15;28.06.2018 15:30;16.945,25
28.06.2018 15:30;28.06.2018 15:45;16.928,50
28.06.2018 15:45;28.06.2018 16:00;16.815,75
28.06.2018 16:00;28.06.2018 16:15;16.734,75
28.06.2018 16:15;28.06.2018 16:30;16.724,50
28.06.2018 16:30;28.06.2018 16:45;16.674,75
28.06.2018 16:45;28.06.2018 17:00;16.640,50
28.06.2018 17:00;28.06.2018 17:15;16.632,00
28.06.2018 17:15;28.06.2018 17:30;16.639,00
28.06.2018 17:30;28.06.2018 17:45;16.606,00
28.06.2018 17:45;28.06.2018 18:00;16.590,50
28.06.2018 18:00;28.06.2018 18:15;16.481,25
28.06.2018 18:15;28.06.2018 18:30;16.395,75
28.06.2018 18:30;28.06.2018 18:45;16.370,00
28.06.2018 18:45;28.06.2018 19:00;16.387,50
28.06.2018 19:00;28.06.2018 19:15;16.338,25
28.06.2018 19:15;28.06.2018 19:30;16.243,00
28.06.2018 19:30;28.06.2018 19:45;16.114,50
28.06.2018 19:45;28.06.2018 20:00;16.018,25
28.06.2018 20:00;28.06.2018 20:15;15.770,50
28.06.2018 20:15;28.06.2018 20:30;15.604,50
28.06.2018 20:30;28.06.2018 20:45;15.381,25
28.06.2018 20:45;28.06.2018 21:00;15.179,75
28.06.2018 21:00;28.06.2018 21:15;14.994,25
28.06.2018 21:15;28.06.2018 21:30;14.828,00
28.06.2018 21:30;28.06.2018 21:45;14.609,75
28.06.2018 21:45;28.06.2018 22:00;14.485,50
28.06.2018 22:00;28.06.2018 22:15;14.375,50
28.06.2018 22:15;28.06.2018 22:30;14.239,50
28.06.2018 22:30;28.06.2018 22:45;14.002,00
28.06.2018 22:45;28.06.2018 23:00;13.800,25
28.06.2018 23:00;28.06.2018 23:15;13.458,75
28.06.2018 23:15;28.06.2018 23:30;13.217,75
28.06.2018 23:30;28.06.2018 23:45;12.997,50
28.06.2018 23:45;29.06.2018 00:00;12.772,50
